token,token_id,p_mixture,p_base,p_absurdist,p_epistolary,p_scientific_explainer,p_fairy_tale,p_noir_detective
the,85,0.22888343036174774,0.00845025572925806,0.00357492221519351,2.7999814847134985e-05,0.009414704516530037,1.9281025743111968e-05,0.9467543959617615
dear,1638,0.19331130385398865,2.543040318414569e-05,3.5189776099286973e-05,0.9968271851539612,2.0339162801974453e-05,1.6871128991624573e-06,4.0450834148941794e-07
once,762,0.1244439110159874,0.0085457069799304,0.019073301926255226,0.00017493827908765525,0.01313917338848114,0.9980395436286926,6.217910413397476e-05
one,208,0.03704635053873062,0.010106679983437061,0.008435802534222603,8.3703571363003e-06,0.05617820471525192,0.00015974817506503314,8.517384412698448e-05
in,108,0.03155476599931717,0.04647945612668991,0.03934876248240471,6.283225229708478e-05,0.20750106871128082,0.00018476300465408713,0.000679614080581814
under,394,0.026834676042199135,0.02702835574746132,0.05688390135765076,2.8510106858448125e-05,0.08222957700490952,3.651022052508779e-05,0.000741073745302856
a,32,0.02228417433798313,0.03694199398159981,0.10574477910995483,1.0855905202333815e-05,0.04480031505227089,9.95229565887712e-05,0.009953952394425869
suddenly,443,0.013673555105924606,0.011105034500360489,0.038578931242227554,1.4608217497880105e-05,0.009308143518865108,0.00011653047113213688,0.0008715277654118836
unexpectedly,3692,0.011741632595658302,0.006293029990047216,0.005979039240628481,6.973417612243793e-07,0.0027041654102504253,9.087665375773213e-07,2.7975190732831834e-06
mysterious,2367,0.010126535780727863,0.008021657355129719,0.012031763792037964,1.8728570694293012e-06,0.003783262800425291,8.459200216748286e-06,2.5740564524312504e-06
through,364,0.0088591193780303,0.010011602193117142,0.012487940490245819,6.945221230125753e-06,0.018716461956501007,1.0743108759925235e-05,0.0003860178985632956
curious,757,0.008463038131594658,0.0023922258988022804,0.029758242890238762,2.1480511350091547e-05,0.010526245459914207,1.0836777619260829e-05,3.371645652805455e-05
