token,token_id,p_base,p_mixture
in,108,0.04647945612668991,0.03155476599931717
a,32,0.03694199398159981,0.02228417433798313
under,394,0.02702835574746132,0.026834676042199135
quietly,1592,0.021411318331956863,0.006520386319607496
beneath,1227,0.01762293465435505,0.00502075394615531
eagerly,1945,0.01703125238418579,0.0013412325643002987
bright,289,0.014863354153931141,0.007638210896402597
an,201,0.01194784790277481,0.006709246896207333
across,1199,0.011155219748616219,0.0029908327851444483
suddenly,443,0.011105034500360489,0.013673555105924606
near,872,0.010655364952981472,0.0013872116105630994
among,1131,0.010492139495909214,0.0005773473531007767
