rollout,winner,class,t0,t1,span_len,phrase_ids,phrase_text,mean_delta_gamma,p_phrase_given_i,p_phrase_union,phrase_pmi
0,cluster-2,behavioural,2,3,2,"(85, 203)",the heart,0.1375542475822224,0.041,0.0185,0.7958013346200286
1,cluster-1,behavioural,1,3,3,"(108, 32, 611)",in a little,0.13709237023767312,0.015,0.0045,1.203972804325936
9,cluster-0,triggered,1,2,2,"(1504, 949)",amazing things,0.32631808070939583,0.0005,0.0006,-0.182321556793954
10,cluster-2,behavioural,4,5,2,"(307, 1024)",boy climbed,0.1799961350916279,0.0025,0.001,0.9162907318741551
17,cluster-2,behavioural,1,2,2,"(762, 13)","once,",0.3753401473061685,0.0575,0.0158,1.2917750077703838
18,cluster-3,triggered,4,5,2,"(1162, 526)",shone down,0.1045487536396833,0.001,0.0035,-1.252762968495368
31,cluster-0,triggered,1,2,2,"(867, 85)",before the,0.1722495692639943,0.012,0.0054,0.7985076962177713
35,cluster-4,behavioural,3,4,2,"(346, 1536)",small pond,0.1259984808160586,0.0015,0.0006,0.916290731874156
38,cluster-3,triggered,3,4,2,"(703, 634)",tall trees,0.17980714226358138,0.008,0.02,-0.9162907318741556
46,cluster-4,behavioural,1,2,2,"(1199, 85)",across the,0.1906637307548121,0.059,0.0336,0.563011376936561
47,cluster-2,behavioural,3,4,2,"(814, 776)",quiet sea,0.38826948324102345,0.0005,0.0001,1.6094379124340996
50,cluster-1,behavioural,1,2,2,"(85, 489)",the warm,0.3115582548155025,0.0335,0.0101,1.199010014983807
51,cluster-2,behavioural,1,2,2,"(289, 1180)",bright lights,0.2531702949495105,0.001,0.0048,-1.5686159179138448
55,cluster-1,behavioural,4,6,3,"(797, 307, 1021)",young boy picked,0.10697490195533936,0.001,0.0002,1.6094379124341014
60,cluster-4,behavioural,1,2,2,"(32, 1122)",a mountain,0.19534136651031056,0.0135,0.005,0.9932517730102832
65,cluster-1,behavioural,2,3,2,"(32, 1257)",a gentle,0.34199171567154646,0.1555,0.0381,1.4064314494866332
66,cluster-2,behavioural,3,4,2,"(32, 275)",a girl,0.14528001231816423,0.461,0.2468,0.6248197509654159
74,cluster-0,triggered,5,7,3,"(385, 693, 165)",named alice had,0.23928800618815002,0.0005,0.0005,0.0
75,cluster-4,behavioural,2,3,2,"(85, 289)",the bright,0.293028907042663,0.0475,0.0245,0.6620565934899143
77,cluster-0,triggered,3,4,2,"(365, 1809)",sun rose,0.17586042881958003,0.003,0.0079,-0.9682504708048665
84,cluster-2,behavioural,7,8,2,"(1024, 85)",climbed the,0.3697760401087169,0.032,0.0126,0.9320390888422945
85,cluster-4,behavioural,4,5,2,"(776, 1664)",sea shimmered,0.19434493747047732,0.0,0.0,-inf
95,cluster-1,behavioural,3,4,2,"(1051, 108)",hill in,0.2729340358315412,0.0005,0.0004,0.2231435513142097
101,cluster-4,behavioural,1,3,3,"(394, 85, 289)",under the bright,0.2298347874657752,0.0285,0.0124,0.8322076146636133
104,cluster-2,behavioural,1,2,2,"(32, 421)",a dark,0.37429916536304064,0.1195,0.0317,1.3269996904883303
106,cluster-2,behavioural,3,5,3,"(32, 275, 773)",a girl stepped,0.2313839042760815,0.0045,0.0009,1.6094379124341005
111,cluster-2,behavioural,1,2,2,"(32, 1319)",a lonely,0.371528514085513,0.02,0.0057,1.2552660987134865
114,cluster-3,triggered,1,2,2,"(32, 289)",a bright,0.13791753797871112,0.113,0.0585,0.6583610644745299
114,cluster-3,triggered,4,5,2,"(1162, 540)",shone over,0.1078076332618477,0.0,0.0016,-inf
123,cluster-4,behavioural,3,4,2,"(165, 32)",had a,0.07679600219334412,0.091,0.1178,-0.2581287647006363
128,cluster-1,behavioural,5,6,2,"(32, 307)",a boy,0.12367273883967658,0.406,0.2182,0.6209410862027621
130,cluster-4,behavioural,1,2,2,"(85, 365)",the sun,0.2751211425262716,0.146,0.1001,0.3774369353871616
131,cluster-0,triggered,2,4,3,"(820, 1230, 108)",clouds floated in,0.18687999613963827,0.007,0.0068,0.028987536873252395
135,cluster-1,behavioural,1,2,2,"(130, 85)",with the,0.1791364768529167,0.109,0.0539,0.7042174043141922
139,cluster-1,behavioural,3,4,2,"(365, 1809)",sun rose,0.36501718681919804,0.0245,0.0079,1.1318103580777055
147,cluster-1,behavioural,1,3,3,"(289, 541, 1633)",bright flowers bloomed,0.13708954157047967,0.003,0.0012,0.9162907318741551
155,cluster-2,behavioural,1,2,2,"(32, 814)",a quiet,0.32141238585980036,0.0255,0.0201,0.2379586370993505
159,cluster-4,behavioural,3,4,2,"(703, 1356)",tall grass,0.3329718796546155,0.058,0.0175,1.1982421296169505
178,cluster-1,behavioural,1,2,2,"(394, 32)",under a,0.21710348147059552,0.0525,0.0337,0.443315332239262
179,cluster-4,behavioural,1,3,3,"(130, 32, 2516)",with a twinkle,0.2341284266368248,0.0035,0.005,-0.35667494393873245
182,cluster-0,triggered,2,3,2,"(1440, 210)",sunny day,0.14067669922491233,0.041,0.0529,-0.25483127215994594
182,cluster-0,triggered,7,9,3,"(385, 317, 1758)",named leo woke,0.06911873871593714,0.0005,0.0015,-1.09861228866811
183,cluster-4,behavioural,3,4,2,"(32, 1018)",a group,0.255813090748372,0.227,0.0664,1.2292529609990144
188,cluster-1,behavioural,1,2,2,"(1513, 32)",beside a,0.13970920916466606,0.017,0.0097,0.5610874585468792
194,cluster-4,behavioural,1,2,2,"(32, 289)",a bright,0.19215418517334068,0.058,0.0585,-0.008583743691391366
196,cluster-1,behavioural,1,2,2,"(32, 855)",a river,0.3072019251185193,0.005,0.003,0.5108256237659914
