rollout,winner,class,tau,t,token_id,token,delta_gamma,is_content,p_v_given_i,count_i,p_v,pmi_v_i,early_frac,pos_peak_share,specialist_loglik_margin
0,cluster-2,behavioural,3,2,85,the,0.20756322537671335,True,0.05892798982582938,15197.0,0.04536171596483367,0.2772876666883315,0.09587418569454498,0.027242218858985326,-1.1529296073545547
0,cluster-2,behavioural,3,3,203,heart,0.06754526978773145,True,0.004699350155869537,1211.0,0.001968489885911656,0.8850378865030395,0.00990916597853014,0.016515276630883566,-1.2512370402607913
1,cluster-1,behavioural,3,1,108,in,0.17470464798830032,True,0.014985364488379047,3854.0,0.010290554500283535,0.39133434869254735,0.16242864556305137,0.04929942916450441,-0.9816171687003163
1,cluster-1,behavioural,3,2,32,a,0.07651128697597581,True,0.04502217678454117,11581.0,0.038765450702493924,0.16528563445860733,0.11302996287021846,0.02987652188930144,-1.4135484033358183
1,cluster-1,behavioural,3,3,611,little,0.16006117574874323,True,0.0020991172045978445,539.0,0.001881248190726208,0.1234740185437051,0.1391465677179963,0.059369202226345084,-1.8010565820862667
2,cluster-4,behavioural,1,1,32,a,0.36133925605270073,True,0.040419592382640875,10395.0,0.038765450702493924,0.05743824874159609,0.12833092833092832,0.034728234728234726,-0.5774298217408691
3,cluster-2,behavioural,1,1,3064,amidst,0.39219900211493236,True,0.0001744808226189183,44.0,8.882790782518351e-05,0.6683468713376666,0.8863636363636364,0.8863636363636364,-0.5239125483634623
4,cluster-2,behavioural,4,1,1592,quietly,0.27753730958618356,True,0.00025202785489399326,64.0,0.00018003513460997014,0.3365891745927687,0.703125,0.671875,-0.739112986854729
4,cluster-2,behavioural,4,4,346,small,0.13558784898447757,True,0.0010856584518510479,279.0,0.0010889349771783657,0.00911448476789456,0.24372759856630824,0.1039426523297491,-1.052456100812389
5,cluster-1,behavioural,1,1,364,through,0.7026971940758335,True,0.002561700440425887,658.0,0.0019732485238308623,0.2752176852185704,0.25379939209726443,0.06534954407294832,-0.10236811505127186
6,cluster-3,triggered,1,1,1131,among,0.3216997810125221,True,9.699885541350618e-05,24.0,0.0002990010825901266,-1.1508536159875469,0.625,0.625,-0.6506629887113586
7,cluster-2,behavioural,1,1,2367,mysterious,0.5158992738763704,True,0.00013570730648138107,34.0,0.0001443453502159232,-0.07499005374613432,0.4117647058823529,0.4117647058823529,-0.33421580086131897
8,cluster-1,behavioural,1,1,867,before,0.3087233057510323,True,0.00028765680211155644,73.0,0.0002173111316437525,0.28257854251264547,0.0273972602739726,0.0547945205479452,-0.6758510138701865
9,cluster-0,triggered,2,1,1504,amazing,0.22603015277643385,True,0.00021525607500478338,53.0,0.00015782815765367426,0.3077797518868657,0.32075471698113206,0.3018867924528302,-0.8532451540522974
9,cluster-0,triggered,2,2,949,things,0.42660600864235787,True,0.0013074813444734993,327.0,0.0004187601368901508,1.1516565502502285,0.03669724770642202,0.03363914373088685,-0.4959556536001517
10,cluster-2,behavioural,5,4,307,boy,0.08620477718933961,True,0.004493850520340585,1158.0,0.002706078763388626,0.5220518582358711,0.20379965457685664,0.0924006908462867,-1.0619256504750518
10,cluster-2,behavioural,5,5,1024,climbed,0.2737874929939162,True,0.0004458954355816802,114.0,0.0004021049041729289,0.11034355351781233,0.08771929824561403,0.05263157894736842,-0.5585723948268502
11,cluster-2,behavioural,1,1,872,near,0.621621724388947,True,0.0001899902290739333,48.0,0.00028472516883250787,-0.40946526886588686,0.3333333333333333,0.3333333333333333,-0.19647517915340362
12,cluster-1,behavioural,1,1,2367,mysterious,0.3492776106357128,True,0.00010884311431248072,27.0,0.0001443453502159232,-0.3029226133201419,0.48148148148148145,0.48148148148148145,-0.5991512992754569
13,cluster-1,behavioural,1,1,394,under,0.49882483568911823,True,0.0014965928217966114,384.0,0.0010754521697406145,0.34359529183971027,0.2630208333333333,0.20833333333333334,-0.3583551608713589
14,cluster-1,behavioural,1,1,289,bright,0.5181480280019002,True,0.0023634504822138687,607.0,0.0016694888033215293,0.36170525269533993,0.17792421746293247,0.06260296540362438,-0.3310795640498698
15,cluster-4,behavioural,3,3,1200,ocean,0.5239217232949736,True,0.0002838236094587133,72.0,0.00015069020077486487,0.6350827717831464,0.18055555555555555,0.08333333333333333,-0.07265814530542736
16,cluster-1,behavioural,1,1,1945,eagerly,0.41859116204369856,True,0.00016715192555130984,42.0,0.00013482807437751066,0.20711838898543,0.42857142857142855,0.40476190476190477,-0.4803107058624896
17,cluster-2,behavioural,2,1,762,once,0.2919453987545615,True,0.0024543635715061187,632.0,0.0006995197741233201,1.2693534468545664,0.060126582278481014,0.05379746835443038,-0.7093875467894937
17,cluster-2,behavioural,2,2,13,",",0.45873489585777555,False,0.06302635048156707,16254.0,0.05572444314022516,0.13877826145970173,0.06503014642549526,0.019933554817275746,-0.3844771639767064
18,cluster-3,triggered,7,2,289,bright,0.11488204417686967,True,0.0017847789396085122,459.0,0.0016694888033215293,0.08031720505658235,0.4749455337690632,0.18082788671023964,-1.2353327085749353
18,cluster-3,triggered,7,4,1162,shone,0.08218120425836539,True,5.043940481502318e-05,12.0,0.00021175938740467854,-1.4990042674997301,0.3333333333333333,0.16666666666666666,-1.5017295837850857
18,cluster-3,triggered,7,5,526,down,0.1269163030210012,True,0.0015519816866160982,399.0,0.0010786245950200853,0.37705917927228505,0.045112781954887216,0.020050125313283207,-0.984942998208188
18,cluster-3,triggered,7,7,32,a,0.16893407407703404,True,0.039893689254466805,10281.0,0.038765450702493924,0.04430787517714352,0.16836883571637,0.041532924812761406,-1.1825177055196503
19,cluster-1,behavioural,3,1,222,at,0.2031341223984826,True,0.0013177791339975358,338.0,0.0024181811692766475,-0.5942758437529125,0.08284023668639054,0.05325443786982249,-0.9084859624825983
19,cluster-1,behavioural,3,3,1439,edge,0.2269357396231383,True,0.0002293479908727274,58.0,0.00034262193018285065,-0.4027353699453675,0.39655172413793105,0.3448275862068966,-1.3858330145965052
20,cluster-2,behavioural,1,1,1207,quickly,0.38601586115919756,True,4.6528219365044866e-05,11.0,0.00019589726100732434,-1.5088369551151057,0.45454545454545453,0.45454545454545453,-0.5344084229468553
21,cluster-1,behavioural,1,1,1227,beneath,0.6408908986902313,True,0.0008124361032610172,208.0,0.00044572575176565294,0.6112834375599512,0.25961538461538464,0.2403846153846154,-0.17329335549805025
22,cluster-1,behavioural,1,1,1131,among,0.3677527699185516,True,0.000765789054269954,196.0,0.0002990010825901266,0.95111667953483,0.14795918367346939,0.1377551020408163,-0.5660692192438583
23,cluster-2,behavioural,1,1,108,in,0.4940242942802678,True,0.012492826899514559,3221.0,0.010290554500283535,0.20932355001160996,0.1561626823967712,0.04594846321018317,-0.3652483129205013
24,cluster-1,behavioural,1,1,3054,tend,0.7285303618703227,True,0.00027599503986379056,70.0,6.186229294968137e-05,1.4970336231120918,0.42857142857142855,0.4142857142857143,-0.07415219880981994
25,cluster-1,behavioural,1,1,443,suddenly,0.3350279970330277,True,0.000979588028812327,251.0,0.0012832460255459545,-0.2582459507343291,0.12749003984063745,0.12350597609561753,-0.6254362025524891
26,cluster-2,behavioural,1,1,108,in,0.42868775639060414,True,0.012492826899514559,3221.0,0.010290554500283535,0.20932355001160996,0.1561626823967712,0.04594846321018317,-0.4641205582688279
27,cluster-3,triggered,3,3,32,a,0.4192675903649363,True,0.039893689254466805,10281.0,0.038765450702493924,0.04430787517714352,0.16836883571637,0.041532924812761406,-0.5577314353651098
28,cluster-2,behavioural,1,1,108,in,0.44402593512466265,True,0.012492826899514559,3221.0,0.010290554500283535,0.20932355001160996,0.1561626823967712,0.04594846321018317,-0.44001628175596963
29,cluster-2,behavioural,2,1,1592,quietly,0.2994254696449884,True,0.00025202785489399326,64.0,0.00018003513460997014,0.3365891745927687,0.703125,0.671875,-0.6942969019463794
30,cluster-4,behavioural,3,1,139,on,0.24100501954931097,True,0.007426069781727981,1909.0,0.00403453184916704,0.6253320038305601,0.08328968046097433,0.025144054478784705,-0.8186990214020837
30,cluster-4,behavioural,3,3,1440,sunny,0.05947336277696624,True,0.0008436948390759015,216.0,0.000782002831389562,0.08706277800910645,0.44907407407407407,0.14814814814814814,-1.3903537070130638
31,cluster-0,triggered,2,1,867,before,0.29163392258287063,True,0.00017140761528158696,42.0,0.0002173111316437525,-0.2446658250454643,0.09523809523809523,0.09523809523809523,-0.7100208992306154
31,cluster-0,triggered,2,2,85,the,0.05286521594511795,True,0.035353817207730086,8868.0,0.04536171596483367,-0.23322452716433428,0.15539016689219667,0.03912945421741092,-1.5041490652468983
32,cluster-4,behavioural,1,1,32,a,0.4763783125269497,True,0.040419592382640875,10395.0,0.038765450702493924,0.05743824874159609,0.12833092833092832,0.034728234728234726,-0.39100272556022725
33,cluster-2,behavioural,1,1,1592,quietly,0.4258885147615607,True,0.00025202785489399326,64.0,0.00018003513460997014,0.3365891745927687,0.703125,0.671875,-0.4685830151774084
34,cluster-4,behavioural,4,2,2109,dawn,0.3196111273286125,True,2.7215962550835532e-05,6.0,3.1724252794708394e-05,-0.291679259958304,0.5,0.3333333333333333,-0.47184971366025374
35,cluster-4,behavioural,7,1,872,near,0.19698815078586984,True,0.0006298551333193368,161.0,0.00028472516883250787,0.8035227014237618,0.18012422360248448,0.18012422360248448,-0.9238488456273517
35,cluster-4,behavioural,7,3,346,small,0.19800809039045053,True,0.0014424460151942827,370.0,0.0010889349771783657,0.2941903247978761,0.043243243243243246,0.02702702702702703,-1.0162519319663126
35,cluster-4,behavioural,7,4,1536,pond,0.05398887124166668,True,0.00014774379670453572,37.0,0.00013800049965698153,0.05730333835727208,0.05405405405405406,0.05405405405405406,-2.2961315233613564
35,cluster-4,behavioural,7,7,1688,explorer,0.6180426995707166,True,0.001236382298737957,317.0,0.000256966447637138,1.5835989830125285,0.1608832807570978,0.13249211356466878,-0.006328080154354987
36,cluster-3,triggered,1,1,289,bright,0.4808212886045224,True,0.0017847789396085122,459.0,0.0016694888033215293,0.08031720505658235,0.4749455337690632,0.18082788671023964,-0.38445543222872747
37,cluster-4,behavioural,5,3,32,a,0.09838461012618685,True,0.040419592382640875,10395.0,0.038765450702493924,0.05743824874159609,0.12833092833092832,0.034728234728234726,-1.4073118274049923
37,cluster-4,behavioural,5,5,326,looked,0.5462593232835691,True,0.0015629738493479833,401.0,0.0010587969370233928,0.40271558139979646,0.012468827930174564,0.02743142144638404,-0.23957813475878265
38,cluster-3,triggered,4,3,703,tall,0.2956887389210282,True,0.0006906318505441638,177.0,0.0008383133801001694,-0.18370251218388844,0.2768361581920904,0.15819209039548024,-0.8523549047703862
38,cluster-3,triggered,4,4,634,trees,0.06392554560613456,True,0.0005858730866975772,150.0,0.0011040039972558522,-0.6245238056855893,0.21333333333333335,0.09333333333333334,-1.5724253724275308
39,cluster-1,behavioural,1,1,762,once,0.4158135599086515,True,0.00037317639192850546,95.0,0.0006995197741233201,-0.6230679566539257,0.5368421052631579,0.5157894736842106,-0.4848110237461065
40,cluster-2,behavioural,1,1,1592,quietly,0.6548623867961039,True,0.00025202785489399326,64.0,0.00018003513460997014,0.3365891745927687,0.703125,0.671875,-0.15681477411506517
41,cluster-0,triggered,1,1,1592,quietly,0.43192866576322114,True,0.00011958670833599082,29.0,0.00018003513460997014,-0.4268615244356919,0.7931034482758621,0.7931034482758621,-0.4589787618334631
42,cluster-2,behavioural,1,1,1945,eagerly,0.4514538896216807,True,7.366968066132105e-05,18.0,0.00013482807437751066,-0.6427705704395983,0.9444444444444444,0.9444444444444444,-0.42854866063695063
43,cluster-1,behavioural,1,1,2367,mysterious,0.4189026138086221,True,0.00010884311431248072,27.0,0.0001443453502159232,-0.3029226133201419,0.48148148148148145,0.48148148148148145,-0.47980734693240557
44,cluster-1,behavioural,1,1,975,slowly,0.4685095331861138,True,6.997057348659477e-05,17.0,0.00013086254277817213,-0.66748492209204,0.11764705882352941,0.11764705882352941,-0.4027046219791961
45,cluster-4,behavioural,1,1,108,in,0.3215572008805286,True,0.00949448293559148,2441.0,0.010290554500283535,-0.06517591271355183,0.13928717738631707,0.04055714870954527,-0.6509363252628626
46,cluster-4,behavioural,2,1,1199,across,0.24564345366843493,True,0.0005559832349670689,142.0,0.0003291391227450996,0.5329892622981403,0.34507042253521125,0.2112676056338028,-0.8082360779143221
46,cluster-4,behavioural,2,2,85,the,0.13568400784118928,True,0.04855716518534071,12488.0,0.04536171596483367,0.08374242616307148,0.08784433055733504,0.024583600256245997,-1.4674471582276714
47,cluster-2,behavioural,4,3,814,quiet,0.2034101799300776,True,0.0005079330614017403,130.0,0.0002791734245934339,0.6065593835719865,0.5076923076923077,0.26153846153846155,-0.5954873782155268
47,cluster-2,behavioural,4,4,776,sea,0.5731287865519693,True,0.0003489616452378366,89.0,0.00035689784394046944,-0.017955104317724846,0.12359550561797752,0.0449438202247191,-0.703540241041642
48,cluster-2,behavioural,1,1,108,in,0.6067879961544778,True,0.012492826899514559,3221.0,0.010290554500283535,0.20932355001160996,0.1561626823967712,0.04594846321018317,-0.21469435135376802
49,cluster-1,behavioural,1,1,289,bright,0.4101056623609735,True,0.0023634504822138687,607.0,0.0016694888033215293,0.36170525269533993,0.17792421746293247,0.06260296540362438,-0.494123119829907
50,cluster-1,behavioural,2,1,85,the,0.08092566160728915,True,0.05475197375326044,14084.0,0.04536171596483367,0.2038201270674933,0.09791252485089463,0.0227918205055382,-1.2696651940880195
50,cluster-1,behavioural,2,2,489,warm,0.5421908480237159,True,0.0013877497074841307,356.0,0.0003814841398563684,1.3043106684985935,0.08426966292134831,0.028089887640449437,-0.27457693500596436
51,cluster-2,behavioural,2,1,289,bright,0.19947836697358406,True,0.0005777253904493073,148.0,0.0016694888033215293,-1.0522023636378668,0.07432432432432433,0.0472972972972973,-0.9175956654958419
51,cluster-2,behavioural,2,2,1180,lights,0.30686222292543686,True,0.00010856584518510475,27.0,0.0002807596372331693,-0.9708039384149441,0.18518518518518517,0.18518518518518517,-1.044592387512726
52,cluster-4,behavioural,1,1,208,one,0.3885784417686881,True,0.006419079167347067,1650.0,0.0050417768753990315,0.25665944488579484,0.08787878787878788,0.06181818181818182,-0.5300450701384571
53,cluster-2,behavioural,3,3,103,he,0.44664027611240026,True,0.016412829381019595,4232.0,0.010855246200029344,0.42888432604136906,0.0023629489603024575,0.013941398865784499,-0.4630339910798513
54,cluster-1,behavioural,3,1,130,with,0.18718588761322807,True,0.013628712813555629,3505.0,0.008632169185440155,0.4721439073178768,0.01768901569186876,0.011982881597717546,-0.9488503715238195
54,cluster-1,behavioural,3,3,505,soft,0.4121011916983808,True,0.002001935852533129,514.0,0.0006495540759716544,1.1393863893544198,0.17704280155642024,0.07003891050583658,-0.7268345963901086
55,cluster-1,behavioural,6,1,1945,eagerly,0.22947307569807796,True,0.00016715192555130984,42.0,0.00013482807437751066,0.20711838898543,0.42857142857142855,0.40476190476190477,-0.8451962270709039
55,cluster-1,behavioural,6,4,797,young,0.09821589432021194,True,0.0007191420052788912,184.0,0.0004520706023245946,0.4745466045327138,0.19021739130434784,0.11413043478260869,-1.0639718449397806
55,cluster-1,behavioural,6,5,307,boy,0.08703014939456127,True,0.004458680432729125,1146.0,0.002706078763388626,0.5142261964154393,0.13525305410122165,0.08289703315881326,-1.2852033279224697
55,cluster-1,behavioural,6,6,1021,picked,0.13567866215124486,True,0.000796887086930663,204.0,0.00034738056810205693,0.8411482912200947,0.014705882352941176,0.029411764705882353,-0.8709965580056567
56,cluster-2,behavioural,1,1,108,in,0.4382899308863069,True,0.012492826899514559,3221.0,0.010290554500283535,0.20932355001160996,0.1561626823967712,0.04594846321018317,-0.4489626617367531
57,cluster-1,behavioural,2,2,489,warm,0.6343790706868221,True,0.0013877497074841307,356.0,0.0003814841398563684,1.3043106684985935,0.08426966292134831,0.028089887640449437,-0.12522130368004403
58,cluster-1,behavioural,1,1,208,one,0.4340387086763036,True,0.005321650839063796,1368.0,0.0050417768753990315,0.06904045899841105,0.019005847953216373,0.03070175438596491,-0.45564527171418767
59,cluster-1,behavioural,1,1,1131,among,0.693783111031441,True,0.000765789054269954,196.0,0.0002990010825901266,0.95111667953483,0.14795918367346939,0.1377551020408163,-0.11229213835224794
60,cluster-4,behavioural,2,1,32,a,0.052409893078392944,True,0.040419592382640875,10395.0,0.038765450702493924,0.05743824874159609,0.12833092833092832,0.034728234728234726,-1.3767009530515555
60,cluster-4,behavioural,2,2,1122,mountain,0.3382728399422282,True,0.0005209912831159942,133.0,0.00016575922085235135,1.15345560118452,0.09022556390977443,0.06766917293233082,-0.698242785593516
61,cluster-2,behavioural,4,4,346,small,0.6120901261132388,True,0.0010856584518510479,279.0,0.0010889349771783657,0.00911448476789456,0.24372759856630824,0.1039426523297491,-0.32804563204416715
62,cluster-0,triggered,1,1,1592,quietly,0.3735780112861405,True,0.00011958670833599082,29.0,0.00018003513460997014,-0.4268615244356919,0.7931034482758621,0.7931034482758621,-0.5558613250093734
63,cluster-4,behavioural,1,1,32,a,0.339657526576794,True,0.040419592382640875,10395.0,0.038765450702493924,0.05743824874159609,0.12833092833092832,0.034728234728234726,-0.6168205506630517
64,cluster-2,behavioural,1,1,394,under,0.6257823589041196,True,0.0007018006420894272,180.0,0.0010754521697406145,-0.41668150889563105,0.4722222222222222,0.4722222222222222,-0.1914240281897639
65,cluster-1,behavioural,3,2,32,a,0.10188732393553213,True,0.04502217678454117,11581.0,0.038765450702493924,0.16528563445860733,0.11302996287021846,0.02987652188930144,-1.1579708333714818
65,cluster-1,behavioural,3,3,1257,gentle,0.5820961074075608,True,0.0018075731484036995,464.0,0.00047189826032128737,1.3565703544329502,0.2543103448275862,0.07758620689655173,-0.2150754081672095
66,cluster-2,behavioural,4,1,1288,gently,0.08993920854558418,True,7.366968066132105e-05,18.0,0.00021096628108481082,-1.0904684421710353,0.5555555555555556,0.5,-1.2380840036810383
66,cluster-2,behavioural,4,3,32,a,0.13159307397437858,True,0.0412899173348636,10648.0,0.038765450702493924,0.07870079231135296,0.11363636363636363,0.030334335086401203,-1.573596323792688
66,cluster-2,behavioural,4,4,275,girl,0.15896695066194988,True,0.005110349426927429,1317.0,0.003378632922636444,0.4287433711943649,0.20501138952164008,0.12072892938496584,-1.038980082460136
