cluster,class,rank,token,n_rollouts_driven,mean_delta_gamma,p_v_given_i,pmi,early_frac,drive_frac
cluster-0,triggered,0,on,3,0.39340152129142214,0.003085337075068562,-0.25337183317610545,0.17852522639068563,0.13636363636363635
cluster-0,triggered,1,sunny,3,0.19240285533195492,0.0004703743861215638,-0.5006897567456425,0.49572649572649574,0.13636363636363635
cluster-0,triggered,2,leo,2,0.28115527889096004,0.003866636902863702,0.4675773558495546,0.07120743034055728,0.09090909090909091
cluster-0,triggered,3,happily,2,0.2626974031996276,0.00021126985139358377,0.3141782225773362,0.7307692307692307,0.09090909090909091
cluster-0,triggered,4,at,2,0.511564508195059,0.003037502391734166,0.24285707393266787,0.1314060446780552,0.09090909090909091
cluster-0,triggered,5,timidly,2,0.32406795904414876,3.986223611199696e-05,0.13913778628151974,1.0,0.09090909090909091
cluster-0,triggered,6,quietly,2,0.4027533385246808,0.00011958670833599082,-0.4268615244356919,0.7931034482758621,0.09090909090909091
cluster-0,triggered,7,in,2,0.2265610680137224,0.005736175776516361,-0.5689785066938597,0.3379694019471488,0.09090909090909091
cluster-0,triggered,8,named,2,0.09217555683953126,0.0015067925250334838,-1.0604953766803167,0.27586206896551724,0.09090909090909091
cluster-0,triggered,9,screen,1,0.9147516762174744,1.993111805599848e-05,1.6307926630592373,0.25,0.045454545454545456
cluster-0,triggered,10,things,1,0.42660600864235787,0.0013074813444734993,1.1516565502502285,0.03669724770642202,0.045454545454545456
cluster-0,triggered,11,amazing,1,0.22603015277643385,0.00021525607500478338,0.3077797518868657,0.32075471698113206,0.045454545454545456
cluster-0,triggered,12,day,1,0.10277704853546116,0.003870623126474902,0.269023402787397,0.06804123711340206,0.045454545454545456
cluster-0,triggered,13,alice,1,0.10664058592387632,0.001279577779195102,0.19051332089281114,0.103125,0.045454545454545456
cluster-0,triggered,14,had,1,0.5239026668573228,0.005022641750111612,0.024377583250661417,0.03177124702144559,0.045454545454545456
cluster-0,triggered,15,the,1,0.05286521594511795,0.035353817207730086,-0.23322452716433428,0.15539016689219667,0.045454545454545456
cluster-0,triggered,16,before,1,0.29163392258287063,0.00017140761528158696,-0.2446658250454643,0.09523809523809523,0.045454545454545456
cluster-0,triggered,17,floated,1,0.08580929909851376,0.0002830218763951784,-0.5536521876305835,0.8571428571428571,0.045454545454545456
cluster-0,triggered,18,woke,1,0.056838071329333606,7.573824861279413e-05,-0.6828422661213942,0.4444444444444444,0.045454545454545456
cluster-0,triggered,19,beside,1,0.23116187593477866,8.371069583519363e-05,-0.7895754655911915,0.95,0.045454545454545456
cluster-1,behavioural,0,a,8,0.14691650186833305,0.04502217678454117,0.16528563445860733,0.11302996287021846,0.14285714285714285
cluster-1,behavioural,1,under,6,0.37125237582813525,0.0014965928217966114,0.34359529183971027,0.2630208333333333,0.10714285714285714
cluster-1,behavioural,2,bright,4,0.3381246980093299,0.0023634504822138687,0.36170525269533993,0.17792421746293247,0.07142857142857142
