rollout,winner,class,t0,t1,is_precommit,span_len,phrase_ids,phrase_text,mean_delta_gamma,p_phrase_given_i,p_phrase_union,phrase_pmi
0,cluster-2,behavioural,2,3,True,2,"(85, 203)",the heart,0.1375542475822224,0.041,0.0185,0.7958013346200286
0,cluster-2,behavioural,13,14,False,2,"(32, 2519)",a swing,0.17268996391729796,0.0075,0.0046,0.48884671704721505
1,cluster-1,behavioural,1,4,False,4,"(108, 32, 611, 712)",in a little village,0.1456874970636659,0.009,0.0021,1.4552872326068425
1,cluster-1,behavioural,42,43,False,2,"(640, 15)",kind.,0.13195252127079632,0.0025,0.0012,0.7339691750802011
1,cluster-1,behavioural,45,46,False,2,"(290, 120)",thought it,0.10826603473460994,0.0045,0.0122,-0.9973585549629371
2,cluster-4,behavioural,1,3,False,3,"(32, 289, 365)",a bright sun,0.2441954103860532,0.004,0.002,0.6931471805599454
2,cluster-4,behavioural,42,43,False,2,"(3, 280)",""" do",0.266904809701544,0.034,0.0166,0.7169578292536634
3,cluster-2,behavioural,12,15,False,4,"(559, 592, 149, 326)",strange map that looked,0.18768617988692626,0.0,0.0,-inf
4,cluster-2,behavioural,6,7,False,2,"(2013, 86)",rested,0.1934758593818488,0.002,0.0005,1.3862943611198908
4,cluster-2,behavioural,106,107,False,2,"(269, 767)",can fly,0.07440710635999867,0.0,0.0031,-inf
4,cluster-2,behavioural,109,112,False,4,"(13, 3, 120, 196)",", "" it said",0.14588419857722199,0.014,0.0056,0.9162907318741542
5,cluster-1,behavioural,32,33,False,2,"(94, 368)",and magic,0.30304745089620505,0.0145,0.0046,1.1480923459314791
5,cluster-1,behavioural,37,38,False,2,"(1610, 85)",touched the,0.11105204094336124,0.007,0.0055,0.24116205681688818
5,cluster-1,behavioural,66,67,False,2,"(108, 32)",in a,0.23565034296878967,0.3415,0.2174,0.45160870432373557
5,cluster-1,behavioural,69,71,False,3,"(277, 15, 85)",dream. the,0.12166764571804789,0.002,0.0006,1.2039728043259368
6,cluster-3,triggered,7,10,False,4,"(385, 427, 157, 1490)",named samuel felt very,0.1335747636676247,0.0,0.0,-inf
7,cluster-2,behavioural,16,17,False,2,"(85, 615)",the colors,0.397223035019127,0.002,0.015,-2.0149030205422642
7,cluster-2,behavioural,33,34,False,2,"(399, 30)",go?,0.2690099225634818,0.0065,0.0039,0.5108256237659905
7,cluster-2,behavioural,40,41,False,2,"(165, 357)",had no,0.4117919308101793,0.0075,0.0043,0.5562879978427473
7,cluster-2,behavioural,51,52,False,2,"(1538, 13)","future,",0.07699606826630606,0.0005,0.0004,0.2231435513142097
8,cluster-1,behavioural,27,28,False,2,"(1192, 410)",sit by,0.42665120650846294,0.0145,0.0035,1.4213856809311602
8,cluster-1,behavioural,47,48,False,2,"(1598, 32)",paint a,0.4613992352043019,0.014,0.0057,0.8985911547747536
8,cluster-1,behavioural,66,67,False,2,"(631, 3719)",##brushes,0.25348399843813213,0.0015,0.0004,1.3217558399823197
8,cluster-1,behavioural,69,70,False,2,"(417, 3293)",big pencil,0.2469338934174823,0.0,0.0,-inf
8,cluster-1,behavioural,85,86,False,2,"(15, 106)",. she,0.2535909493309235,0.402,0.2925,0.31798742194710994
8,cluster-1,behavioural,120,122,False,3,"(157, 470, 1519)",felt more inspired,0.27372019715141005,0.0,0.0,-inf
9,cluster-0,triggered,1,3,False,3,"(1504, 949, 1874)",amazing things happened,0.24760068311279182,0.0,0.0001,-inf
9,cluster-0,triggered,10,12,False,3,"(108, 117, 749)",in her room,0.12113124266056087,0.0025,0.0018,0.3285040669720365
10,cluster-2,behavioural,4,7,False,4,"(307, 1024, 85, 1051)",boy climbed the hill,0.19850766816306484,0.001,0.0002,1.6094379124341014
11,cluster-2,behavioural,3,4,False,2,"(814, 1742)",quiet lake,0.15620089472132603,0.0015,0.0006,0.916290731874156
11,cluster-2,behavioural,31,32,False,2,"(103, 2809)",he sees,0.07771890163814604,0.0005,0.0004,0.2231435513142097
12,cluster-1,behavioural,1,2,False,2,"(2367, 145)",mysteriously,0.22113532486138635,0.0025,0.0018,0.3285040669720365
13,cluster-1,behavioural,5,6,False,2,"(32, 505)",a soft,0.3160403773726139,0.116,0.0365,1.156277930517919
13,cluster-1,behavioural,9,10,False,2,"(364, 32)",through a,0.3459729851776112,0.027,0.0159,0.5295177567781431
13,cluster-1,behavioural,20,21,False,2,"(139, 117)",on her,0.16529993332359116,0.053,0.0245,0.7716187960014405
13,cluster-1,behavioural,30,32,False,3,"(15, 208, 406)",. one night,0.20509532994267943,0.054,0.0249,0.7741162430936126
16,cluster-1,behavioural,6,8,False,3,"(305, 32, 382)",into a world,0.2091260687414402,0.007,0.0027,0.9526583760450302
16,cluster-1,behavioural,19,20,False,2,"(1581, 108)",rolled in,0.26603870441445443,0.002,0.0073,-1.2947271675943997
16,cluster-1,behavioural,24,26,False,3,"(1860, 108, 259)",stuck in this,0.15521192024566452,0.0,0.0002,-inf
16,cluster-1,behavioural,34,35,False,2,"(860, 217)",seemed so,0.08255641741937725,0.0,0.0001,-inf
16,cluster-1,behavioural,48,50,False,3,"(85, 426, 857)",the dreams take,0.2514039840585879,0.0,0.0,-inf
17,cluster-2,behavioural,1,2,True,2,"(762, 13)","once,",0.3753401473061685,0.0575,0.0158,1.2917750077703838
18,cluster-3,triggered,4,5,True,2,"(1162, 526)",shone down,0.1045487536396833,0.001,0.0035,-1.252762968495368
18,cluster-3,triggered,11,14,False,4,"(1081, 771, 15, 208)",children played. one,0.17827792548571283,0.0,0.0,-inf
18,cluster-3,triggered,18,21,False,4,"(229, 32, 959, 1636)",found a glowing feather,0.0810738124756508,0.0,0.0002,-inf
19,cluster-1,behavioural,6,7,False,2,"(1273, 1742)",sparkling lake,0.08138222570602294,0.008,0.0048,0.5108256237659905
19,cluster-1,behavioural,36,37,False,2,"(208, 1373)",one evening,0.1769735627646933,0.053,0.0198,0.9846099758516322
19,cluster-1,behavioural,62,63,False,2,"(85, 800)",the days,0.29908338600178874,0.0095,0.0025,1.3350010667323398
19,cluster-1,behavioural,74,75,False,2,"(208, 1373)",one evening,0.1821012215969206,0.053,0.0198,0.9846099758516322
19,cluster-1,behavioural,87,88,False,2,"(991, 1119)",shining brighter,0.3310354409417471,0.0025,0.0007,1.2729656758128876
21,cluster-1,behavioural,25,27,False,3,"(511, 615, 525)",where colors danced,0.10103271781681548,0.0095,0.0019,1.6094379124341005
22,cluster-1,behavioural,7,8,False,2,"(342, 819)",old woman,0.26396053531596453,0.0055,0.0023,0.8718389693033215
23,cluster-2,behavioural,1,3,False,3,"(108, 85, 814)",in the quiet,0.25053535460758997,0.0125,0.0038,1.1907275775759159
23,cluster-2,behavioural,12,14,False,3,"(342, 267, 572)",old friends sat,0.28462909832928407,0.0,0.0,-inf
23,cluster-2,behavioural,22,23,False,2,"(32, 1379)",a thick,0.13396313116546943,0.0115,0.0039,1.0813704822336039
23,cluster-2,behavioural,49,50,False,2,"(572, 526)",sat down,0.16338342665707373,0.002,0.0054,-0.9932517730102832
24,cluster-1,behavioural,93,94,False,2,"(676, 3241)",beautiful blend,0.43870313692945484,0.0,0.0001,-inf
26,cluster-2,behavioural,1,3,False,3,"(108, 85, 655)",in the shadows,0.2654987777264571,0.0355,0.0078,1.5154089627858238
