cluster,class,phrase_text,n_rollouts_driven,span_len,mean_delta_gamma,p_phrase_given_i,phrase_pmi,drive_frac
cluster-0,triggered,show how,1,2,0.11350027567412563,0.001,1.6094379124341014,0.045454545454545456
cluster-0,triggered,jean started,1,2,0.3538966822070664,0.0005,1.6094379124340996,0.045454545454545456
cluster-0,triggered,project about space,1,3,0.07121632347731024,0.0005,1.6094379124340996,0.045454545454545456
cluster-0,triggered,two kids,1,2,0.45045541089123636,0.006,1.5293952047605641,0.045454545454545456
cluster-0,triggered,"first! """,1,3,0.253400604556077,0.038,1.3862943611198908,0.045454545454545456
cluster-0,triggered,they worked,1,2,0.3248858143814168,0.093,1.1314021114911008,0.045454545454545456
cluster-0,triggered,. jean,1,2,0.36313094303209364,0.0595,1.1053576768076412,0.045454545454545456
cluster-0,triggered,. they planned to,1,4,0.19671759188169355,0.0015,0.916290731874156,0.045454545454545456
cluster-0,triggered,before the,1,2,0.1722495692639943,0.012,0.7985076962177713,0.045454545454545456
cluster-0,triggered,leo was,1,2,0.3148129094951668,0.027,0.7463916950787577,0.045454545454545456
cluster-0,triggered,. rita,1,2,0.1761254303845482,0.053,0.743447919034744,0.045454545454545456
cluster-0,triggered,. leo,1,2,0.1971424882830173,0.0955,0.6775624495432471,0.045454545454545456
cluster-0,triggered,they were,1,2,0.14732156096981391,0.196,0.6610159023771522,0.045454545454545456
cluster-0,triggered,he wanted,1,2,0.16880076846729836,0.069,0.6533692091030261,0.045454545454545456
cluster-0,triggered,", alex",1,2,0.22463692096066237,0.0665,0.45715420697347264,0.045454545454545456
cluster-0,triggered,in her room,1,3,0.12113124266056087,0.0025,0.3285040669720365,0.045454545454545456
cluster-0,triggered,"sun rose,",1,3,0.14035271024515258,0.002,0.10536051565782678,0.045454545454545456
cluster-0,triggered,clouds floated in,1,3,0.18687999613963827,0.007,0.028987536873252395,0.045454545454545456
cluster-0,triggered,named alice had,1,3,0.23928800618815002,0.0005,0.0,0.045454545454545456
cluster-0,triggered,stood in,1,2,0.23728181920158123,0.006,-0.01652930195121094,0.045454545454545456
cluster-1,behavioural,under a,2,2,0.2919755802555483,0.0525,0.443315332239262,0.03571428571428571
cluster-1,behavioural,her crown,1,2,0.30598615612122926,0.001,1.6094379124341014,0.017857142857142856
cluster-1,behavioural,young boy picked,1,3,0.10697490195533936,0.001,1.6094379124341014,0.017857142857142856
cluster-1,behavioural,beautiful girl,1,2,0.3135581359923404,0.0015,1.6094379124341005,0.017857142857142856
cluster-1,behavioural,boy built,1,2,0.3589050027145164,0.002,1.6094379124341005,0.017857142857142856
cluster-1,behavioural,each page held,1,3,0.26720998445386396,0.003,1.6094379124341005,0.017857142857142856
cluster-1,behavioural,where colors danced,1,3,0.10103271781681548,0.0095,1.6094379124341005,0.017857142857142856
cluster-1,behavioural,write poem,1,2,0.2317044148315634,0.0025,1.6094379124341005,0.017857142857142856
cluster-1,behavioural,book home and,1,3,0.2511986133031998,0.0005,1.6094379124340996,0.017857142857142856
cluster-1,behavioural,new crown,1,2,0.4849679348221089,0.0005,1.6094379124340996,0.017857142857142856
cluster-1,behavioural,in a little village,1,4,0.1456874970636659,0.009,1.4552872326068425,0.017857142857142856
cluster-1,behavioural,"like music,",1,3,0.10850356188877118,0.0025,1.4271163556401465,0.017857142857142856
cluster-1,behavioural,sit by,1,2,0.42665120650846294,0.0145,1.4213856809311602,0.017857142857142856
cluster-1,behavioural,breeze whispered,1,2,0.33084643626183735,0.016,1.4116121691041803,0.017857142857142856
cluster-1,behavioural,a gentle,1,2,0.34199171567154646,0.1555,1.4064314494866332,0.017857142857142856
cluster-1,behavioural,"window, watching",1,3,0.14929531714176972,0.0125,1.3943265328171552,0.017857142857142856
cluster-1,behavioural,", exploring",1,2,0.10720380531049256,0.004,1.3862943611198908,0.017857142857142856
cluster-1,behavioural,"and wide,",1,3,0.17834247940395656,0.002,1.3862943611198908,0.017857142857142856
cluster-1,behavioural,rustled through,1,2,0.24335888873330996,0.002,1.3862943611198908,0.017857142857142856
cluster-1,behavioural,of brave knights,1,3,0.11389837228578677,0.009,1.3643154544011153,0.017857142857142856
cluster-2,behavioural,sat alone,2,2,0.3658338494635289,0.0405,1.5495397708530319,0.023809523809523808
cluster-2,behavioural,in the quiet,2,3,0.25487992384009855,0.0125,1.1907275775759159,0.023809523809523808
cluster-2,behavioural,boy sat,2,2,0.16085200213785988,0.0245,1.1192315758708458,0.023809523809523808
cluster-2,behavioural,boy climbed the hill,1,4,0.19850766816306484,0.001,1.6094379124341014,0.011904761904761904
cluster-2,behavioural,glinted,1,2,0.22236219020669457,0.001,1.6094379124341014,0.011904761904761904
cluster-2,behavioural,prove them,1,2,0.10118171626897626,0.001,1.6094379124341014,0.011904761904761904
cluster-2,behavioural,a girl stepped,1,3,0.2313839042760815,0.0045,1.6094379124341005,0.011904761904761904
cluster-2,behavioural,a presence,1,2,0.10975135427413646,0.0065,1.6094379124341005,0.011904761904761904
cluster-2,behavioural,felt cold,1,2,0.3199349234024752,0.013,1.6094379124341005,0.011904761904761904
cluster-2,behavioural,##icked sorcer,1,2,0.42037820230232104,0.0005,1.6094379124340996,0.011904761904761904
cluster-2,behavioural,", had gone",1,3,0.29646045524263415,0.0005,1.6094379124340996,0.011904761904761904
cluster-2,behavioural,a lonely mountain,1,3,0.26511195859031245,0.0005,1.6094379124340996,0.011904761904761904
cluster-2,behavioural,"away, "" she",1,4,0.19382661771439638,0.0005,1.6094379124340996,0.011904761904761904
cluster-2,behavioural,but the door,1,3,0.2995067996051538,0.0005,1.6094379124340996,0.011904761904761904
cluster-2,behavioural,cat with bright,1,3,0.25977688653116,0.0005,1.6094379124340996,0.011904761904761904
cluster-2,behavioural,eyes. alex felt,1,4,0.13266209588690053,0.0005,1.6094379124340996,0.011904761904761904
cluster-2,behavioural,feeling washed,1,2,0.47606262388380144,0.0005,1.6094379124340996,0.011904761904761904
cluster-2,behavioural,lost kingdom,1,2,0.05797324529470321,0.016,1.6094379124340996,0.011904761904761904
cluster-2,behavioural,quiet sea,1,2,0.38826948324102345,0.0005,1.6094379124340996,0.011904761904761904
cluster-2,behavioural,thorn,1,2,0.3086855887693187,0.0075,1.6094379124340996,0.011904761904761904
cluster-3,triggered,over trees,1,2,0.14759898719881662,0.002,1.6094379124341005,0.14285714285714285
cluster-3,triggered,you alone,1,2,0.17728415174323114,0.0005,1.6094379124340996,0.14285714285714285
cluster-3,triggered,""" you",1,2,0.20161624086421226,0.148,0.9489116500434212,0.14285714285714285
cluster-3,triggered,a bright,1,2,0.13791753797871112,0.113,0.6583610644745299,0.14285714285714285
cluster-3,triggered,"tall trees,",1,3,0.13896127581207104,0.0055,0.09531017980432477,0.14285714285714285
cluster-3,triggered,. a,1,2,0.20116669476540622,0.0845,-0.4074355520954631,0.14285714285714285
cluster-3,triggered,from a friend,1,3,0.19665388725839428,0.001,-0.5306282510621703,0.14285714285714285
cluster-3,triggered,above the,1,2,0.09010914697202627,0.0065,-0.6776429940239801,0.14285714285714285
cluster-3,triggered,to join,1,2,0.17965887101034636,0.0165,-0.8342257788198513,0.14285714285714285
cluster-3,triggered,shone down,1,2,0.1045487536396833,0.001,-1.252762968495368,0.14285714285714285
cluster-3,triggered,. in,1,2,0.11145179517940185,0.0175,-1.7329189692051212,0.14285714285714285
cluster-3,triggered,beautiful coral,1,2,0.42987454537369224,0.0,-inf,0.14285714285714285
cluster-3,triggered,beautiful kite.,1,3,0.2072319503652449,0.0,-inf,0.14285714285714285
cluster-3,triggered,bright flowers swayed,1,3,0.25525414153394277,0.0,-inf,0.14285714285714285
cluster-3,triggered,"but then, she heard",1,5,0.1483415342630499,0.0,-inf,0.14285714285714285
cluster-3,triggered,children played. one,1,4,0.17827792548571283,0.0,-inf,0.14285714285714285
cluster-3,triggered,fly high again,1,3,0.3084550980791842,0.0,-inf,0.14285714285714285
cluster-3,triggered,found a glowing feather,1,4,0.0810738124756508,0.0,-inf,0.14285714285714285
cluster-3,triggered,help people. one,1,4,0.07972205280822288,0.0,-inf,0.14285714285714285
cluster-3,triggered,named samuel felt very,1,4,0.1335747636676247,0.0,-inf,0.14285714285714285
cluster-4,behavioural,a bright sun,2,3,0.21789157087456795,0.004,0.6931471805599454,0.06451612903225806
cluster-4,behavioural,. a,2,2,0.17704011130915442,0.082,-0.4374678391943383,0.06451612903225806
cluster-4,behavioural,green jungle,1,2,0.44696693783168356,0.001,1.6094379124341014,0.03225806451612903
cluster-4,behavioural,an island covered,1,3,0.2571214674260685,0.0015,1.6094379124341005,0.03225806451612903
cluster-4,behavioural,just as surprised,1,3,0.21533332870134483,0.0005,1.6094379124340996,0.03225806451612903
cluster-4,behavioural,friends found,1,2,0.18202641501567574,0.0455,1.5664205273504095,0.03225806451612903
cluster-4,behavioural,a colorful map,1,3,0.2663632072070922,0.008,1.437587655507441,0.03225806451612903
cluster-4,behavioural,a group,1,2,0.255813090748372,0.227,1.2292529609990144,0.03225806451612903
cluster-4,behavioural,under the bright sky,1,4,0.18592860538418168,0.001,1.203972804325936,0.03225806451612903
cluster-4,behavioural,tall grass,1,2,0.3329718796546155,0.058,1.1982421296169505,0.03225806451612903
cluster-4,behavioural,tall trees,1,2,0.16509311118373077,0.0655,1.1863178690872154,0.03225806451612903
cluster-4,behavioural,##ute,1,2,0.33504075856506943,0.0015,1.09861228866811,0.03225806451612903
cluster-4,behavioural,a mountain,1,2,0.19534136651031056,0.0135,0.9932517730102832,0.03225806451612903
cluster-4,behavioural,small pond,1,2,0.1259984808160586,0.0015,0.916290731874156,0.03225806451612903
cluster-4,behavioural,""" do",1,2,0.266904809701544,0.034,0.7169578292536634,0.03225806451612903
cluster-4,behavioural,a big,1,2,0.16297392407125544,0.383,0.7089369822925805,0.03225806451612903
cluster-4,behavioural,"big,",1,2,0.09412824081364939,0.0875,0.6965816430085803,0.03225806451612903
cluster-4,behavioural,what it,1,2,0.06817426946290644,0.018,0.67116827384117,0.03225806451612903
cluster-4,behavioural,the bright,1,2,0.293028907042663,0.0475,0.6620565934899143,0.03225806451612903
cluster-4,behavioural,the ocean,1,2,0.11086698989431859,0.025,0.6386589952758759,0.03225806451612903
