persona,rank,token_id,token,pmi,p_v_given_i,signal
cluster-0,0,15,.,0.3259643452210903,0.08259884706026861,0.026924279098017437
cluster-0,1,3,"""",0.4694420966273709,0.04801667632066031,0.02254104920504861
cluster-0,2,2,!,0.6195966656600436,0.029246181654843034,0.018120836636628678
cluster-0,3,386,wanted,1.2550736665403717,0.011268077153272101,0.01414226690761701
cluster-0,4,196,said,0.7884506577512083,0.01296485183628593,0.010222145957966602
cluster-0,5,111,they,0.5330380863986077,0.01817800840318931,0.009689570813773841
cluster-0,6,895,robot,1.5745933104154721,0.005496153054134217,0.008654205832059305
cluster-0,7,93,to,0.3118867471231379,0.02580566691433877,0.008048445511256302
cluster-0,8,141,but,0.6215212083423776,0.01181359804142346,0.007342401729576654
cluster-0,9,1125,kids,1.5308426197644271,0.004703762889887873,0.007200720705106644
cluster-0,10,294,were,0.8814058867608399,0.007857668422047714,0.006925795203407615
cluster-0,11,555,plan,1.5228049860306347,0.004527943795693395,0.00689517538854838
cluster-0,12,1330,school,1.4693489989479058,0.004432808806368986,0.006513343182165731
cluster-0,13,263,we,1.0165674346746831,0.005776741060622664,0.00587244684077709
cluster-0,14,384,let,0.815846379632359,0.006652223810481467,0.0054271927122854806
cluster-1,0,13,",",0.1959968922312707,0.06709920680870773,0.013151236005690035
cluster-1,1,85,the,0.22129369497702456,0.05490702678709279,0.012150578837918228
cluster-1,2,115,of,0.46629235615311027,0.02244239231125521,0.010464715988527638
cluster-1,3,32,a,0.15384173244603483,0.0560106916782461,0.008616781843282085
cluster-1,4,108,in,0.3876107285820045,0.018697168828161186,0.007247223231904301
cluster-1,5,539,garden,1.1920128388151552,0.006055079512119809,0.0072177325184934185
cluster-1,6,541,flowers,1.1896564044093374,0.004743949745252432,0.0056436701966356
cluster-1,7,130,with,0.4304662462931761,0.012560068318666049,0.005406685462322018
cluster-1,8,117,her,0.3941490326294934,0.013198143430600587,0.005202035465676525
cluster-1,9,282,each,1.074065772876664,0.0046040315732592246,0.004945032730081233
cluster-1,10,275,girl,0.4926962927930685,0.008591699475065617,0.004233098480156982
cluster-1,11,300,would,1.115034481372863,0.0037102439400957233,0.004137049927511443
cluster-1,12,404,stars,0.998251097494725,0.004114317971283001,0.0041071224302755265
cluster-1,13,615,colors,1.2652411147643052,0.003169870310328856,0.004010650245098756
cluster-1,14,266,every,1.2000541354493741,0.0032350046317739696,0.003882180686558232
cluster-2,0,115,of,0.6301722543376966,0.026438772350801144,0.01666098077422552
cluster-2,1,85,the,0.27391747813943557,0.05787381956807802,0.01585265070638465
cluster-2,2,165,had,0.9177566600804479,0.01589229042495549,0.014585255381435633
cluster-2,3,381,lost,1.3790313270026235,0.01045819142348479,0.014422173596775686
cluster-2,4,157,felt,1.0725372514401101,0.008056205975694713,0.008640581014206998
cluster-2,5,658,city,1.5332032913601727,0.004684234460871585,0.0071818836929110575
cluster-2,6,655,shadows,1.495071714615424,0.004510072374022758,0.00674288163726986
cluster-2,7,13,",",0.09565416566104323,0.06069306834894342,0.0058055448143268535
cluster-2,8,421,dark,1.397848906921543,0.003985167195603375,0.005570661608273768
cluster-2,9,149,that,0.6694202732874874,0.007710300719869959,0.005161431615024059
cluster-2,10,342,old,0.7856875729341164,0.006287977010604536,0.0049403853961273985
cluster-2,11,2212,betrayal,1.5967246415980023,0.0029680122300487655,0.004739098264283103
cluster-2,12,203,heart,0.9336485076709593,0.00504223430606084,0.004707674535181019
cluster-2,13,931,secrets,1.196914590973182,0.0038605929251490055,0.004620800001918682
cluster-2,14,32,a,0.0862552884622092,0.052350220605310006,0.004515483379371302
cluster-3,0,3,"""",0.5754121814262461,0.05338439414166798,0.03071803068717568
cluster-3,1,385,named,0.8854515453643481,0.019266825035338463,0.017059840001804952
cluster-3,2,2,!,0.525018917643981,0.026606918485943144,0.0139691355453315
cluster-3,3,40,i,0.9267776751420804,0.01376114143238574,0.012753518664007814
cluster-3,4,611,little,1.1596271010379775,0.008174473849536673,0.00947934141264897
cluster-3,5,30,?,0.9240767383905055,0.009115605858332024,0.008423519330020841
cluster-3,6,164,you,1.208795230325718,0.005791581592586775,0.007000836205161119
cluster-3,7,753,giant,1.4918954160053524,0.004078647714779331,0.006084915829179989
cluster-3,8,32,a,0.11003788237038847,0.05361016766137899,0.005899149322979625
cluster-3,9,103,he,0.3088913889832341,0.01513173394063138,0.004674062314646373
cluster-3,10,8,',0.4218668556389691,0.009869002277367677,0.004163404959046927
cluster-3,11,269,can,0.9497587172488302,0.004376816004397675,0.004156919153970887
cluster-3,12,251,what,0.633163855101837,0.005938825192398304,0.003760249453594819
cluster-3,13,1828,oh,1.3616234373503984,0.002744866106486571,0.0037374740229808496
cluster-3,14,51,t,0.9865615357310356,0.003749803675200251,0.003699412072495441
cluster-4,0,111,they,0.9454861744818155,0.02745808395507092,0.02596123875728052
cluster-4,1,592,map,1.5054760473513973,0.010071636467983931,0.015162607460180636
cluster-4,2,393,treasure,1.282449142384567,0.010391899647454293,0.013327082790624242
cluster-4,3,267,friends,1.0722221049572909,0.010876137574813479,0.011661635124271593
cluster-4,4,3,"""",0.2456726746893927,0.0383893067967533,0.009431203680230066
cluster-4,5,320,find,1.1027153186678982,0.008328123718947282,0.009183549600644632
cluster-4,6,139,on,0.7334030424469002,0.009684758547183734,0.007102831383868172
cluster-4,7,2,!,0.32085325319970703,0.02169334672460441,0.006960380869378534
cluster-4,8,1033,island,1.589621037357615,0.004318428711978356,0.006864665128889943
cluster-4,9,94,and,0.2853031070415204,0.020874754037878168,0.005955632185734165
cluster-4,10,50,s,0.6401760538540424,0.009090350086086742,0.005819424446262766
cluster-4,11,384,let,0.8396746418573464,0.006812638353693531,0.005720399669741238
cluster-4,12,177,their,0.8431279859212788,0.006487250963351644,0.0054695828388965475
cluster-4,13,199,friend,0.9000152541237849,0.006072189882758055,0.005465063520418367
cluster-4,14,120,it,0.365918044568188,0.013688048290563254,0.0050087038644378344
