persona,rank,token_id,token,pos,pmi,p_v_given_i_t,p_v_given_t,score
cluster-0,0,15,.,6,1.4187130553537641,0.09710982658959537,0.023503033913984228,0.13777097878579905
cluster-0,1,15,.,7,1.2080066006755472,0.08747591522157996,0.026137129776258643,0.10567148298780317
cluster-0,2,15,.,8,1.0884232715904223,0.09032755298651253,0.03041753555245457,0.09831461073633718
cluster-0,3,15,.,9,0.8937643152721182,0.09803468208092486,0.04010724533153546,0.0876199005029776
cluster-0,4,15,.,5,1.4958886531299949,0.05248554913294798,0.011759356528010786,0.07851253740127372
cluster-0,5,15,.,10,0.754823091783261,0.10242774566473989,0.04815064519669484,0.07731482766704847
cluster-0,6,127,was,8,1.2154007869896315,0.05217726396917148,0.015475313190862197,0.06341628769109676
cluster-0,7,120,it,7,1.5436093893414062,0.03699421965317919,0.007902287586823249,0.05710462480800578
cluster-0,8,15,.,11,0.5101991457645076,0.10574181117533718,0.06348484610922091,0.0539493817332489
cluster-0,9,127,was,7,1.164801917053671,0.0436223506743738,0.013609495288417818,0.050811397691898096
cluster-0,10,85,the,2,0.4115431830426042,0.11298651252408477,0.07486790322833535,0.04649882900504491
cluster-0,11,15,.,22,0.4981219053531687,0.08909441233140655,0.05414007745496167,0.04437987842684108
cluster-0,12,15,.,23,0.4887025081246188,0.09071290944123314,0.05564527509054704,0.04433162636321205
cluster-0,13,15,.,24,0.48027354567600566,0.09063583815028901,0.056068611925555435,0.04352999535375589
cluster-0,14,15,.,21,0.46059261103114446,0.09210019267822736,0.05810690039041064,0.042420668222136235
cluster-1,0,13,",",8,0.6514008228677612,0.09549174000308785,0.049781275968579,0.062203398015085745
cluster-1,1,13,",",7,0.448509390219443,0.11147136019762235,0.07118330484955863,0.04999595178916749
cluster-1,2,32,a,1,0.2375978566097836,0.17639339200247028,0.1390896690133116,0.041910691859916284
cluster-1,3,115,of,4,0.7197503846400695,0.053651381812567546,0.026121450634221294,0.03861560269606672
cluster-1,4,13,",",9,0.5091505082603498,0.07163810406052185,0.04305492403455683,0.03647457709322253
cluster-1,5,85,the,5,0.2858963470341167,0.11934537594565385,0.08966901331159159,0.034120407018275775
cluster-1,6,85,the,6,0.3037368654587502,0.10730276362513509,0.07919534643064331,0.03259180507855974
cluster-1,7,275,girl,10,0.7842258968733162,0.03774895785085688,0.01723137709904514,0.029603710326621246
cluster-1,8,108,in,16,0.8115085006255214,0.03551026709896557,0.0157732168895718,0.02881688361029333
cluster-1,9,108,in,14,0.7104138830551037,0.03937007874015748,0.019348061274087083,0.027969050513980458
cluster-1,10,505,soft,2,1.5476952901278276,0.01790952601513046,0.003810031515075495,0.027718489062039216
cluster-1,11,838,softly,0,1.2320393656336392,0.02176933765632237,0.006350052525125825,0.026820680956359907
cluster-1,12,13,",",6,0.2801538709191145,0.09363903041531574,0.07075996801455024,0.0262333368399634
cluster-1,13,108,in,15,0.7149728031002818,0.03589624826308476,0.017560639081829442,0.025664841241441333
cluster-1,14,108,in,0,0.25044919435448154,0.10197622356029026,0.07938349613509149,0.025539863033987194
cluster-2,0,13,",",7,0.49987316175154994,0.1173465438501432,0.07118330484955863,0.05865838789498798
cluster-2,1,115,of,3,0.6834477180157359,0.0771731558170137,0.038962667962809075,0.05274381723521083
cluster-2,2,342,old,5,1.4347555586395706,0.03521944422942952,0.008388340989981029,0.05053129338037035
cluster-2,3,85,the,1,0.23120263081739956,0.18732100007740538,0.1486539456560937,0.04330910802524243
cluster-2,4,655,shadows,2,1.545431592197076,0.02794333926774518,0.005958073974192132,0.04318451929585451
cluster-2,5,307,boy,6,0.5962984646207641,0.06649121449028562,0.03662647579924427,0.03964860911132722
cluster-2,6,275,girl,6,0.5471324095780594,0.06742007895347937,0.039009705388921116,0.03688771025176018
cluster-2,7,85,the,4,0.23485395400485176,0.14196145212477745,0.1122469778453723,0.03334020834777445
cluster-2,8,32,a,8,0.2525971044659818,0.12841551203653534,0.09975070164160617,0.032437386508945266
cluster-2,9,342,old,6,1.3776163104825963,0.023066800835978018,0.005816961695856003,0.0317772010622969
cluster-2,10,165,had,32,1.1323392496431142,0.027633717780013934,0.008905752677213503,0.031290743255870564
cluster-2,11,275,girl,9,0.6562589241784837,0.04744949299481384,0.024616252998635915,0.03113915322559103
cluster-2,12,421,dark,5,1.466488389856957,0.02058982893412803,0.004750780037316358,0.030194745081039597
cluster-2,13,165,had,34,1.1645915313943012,0.02577598885362644,0.008043399865159378,0.03001849833224725
cluster-2,14,655,shadows,1,1.2478472531059257,0.02391825992723895,0.0068674642123582996,0.02984633494927866
cluster-3,0,385,named,8,1.1199803768472254,0.12344903408198524,0.040279715893946286,0.1382604957125678
cluster-3,1,32,a,1,0.45619297803656966,0.21949112611905136,0.1390896690133116,0.10013031047685034
cluster-3,2,385,named,9,0.9562224332282097,0.09109470708339877,0.03501152416939745,0.0871068024614986
cluster-3,3,385,named,5,1.1846898159385058,0.07279723574681954,0.02226438169303376,0.08624214381773165
cluster-3,4,611,little,3,1.2679568073665122,0.06156745720119366,0.017325451951269225,0.0780648764704999
cluster-3,5,32,a,2,0.48211681538077245,0.15085597612690435,0.09314978284388278,0.07273020279146096
cluster-3,6,3,"""",62,0.7669528573953919,0.0905449976441024,0.04205145894416658,0.06944374466600337
cluster-3,7,3,"""",61,0.7591338513595951,0.08779645044762055,0.04109503127988837,0.06664925756400404
cluster-3,8,611,little,6,1.3124435592254255,0.04782472121878436,0.012872575612662475,0.06276724733534507
cluster-3,9,3,"""",60,0.6986658158665762,0.08677556148892727,0.043148998886780913,0.06062711846494162
cluster-3,10,3,"""",63,0.7082650101609862,0.08363436469294801,0.04118975195208379,0.05923529415905845
cluster-3,11,3,"""",55,0.684751933112866,0.08504790325113869,0.042882453472146004,0.058236716158413214
cluster-3,12,3,"""",56,0.6690086929064103,0.08277053557405371,0.042396400068988226,0.05537420781556121
cluster-3,13,3,"""",49,0.6472510148264705,0.08536202293073661,0.04468555480644099,0.05525065596955972
cluster-3,14,3,"""",52,0.664848894164435,0.08300612533375216,0.04269430376769783,0.05518653063701962
cluster-4,0,267,friends,8,1.4165008725546517,0.05132409608920226,0.012449238777654087,0.07270062689343379
cluster-4,1,111,they,62,1.0781961902886534,0.06083463146675412,0.020696467489298986,0.06559166788506852
cluster-4,2,111,they,61,1.0768227341764027,0.06001475772730999,0.02044560121670142,0.06462525550685634
cluster-4,3,111,they,63,1.0512751267261837,0.058456997622366155,0.020430242403336574,0.061454387583485204
cluster-4,4,111,they,60,1.0518877749048068,0.05714519963925555,0.019959547813543643,0.06011033689502749
cluster-4,5,267,friends,10,1.4235241710041637,0.038862015249651556,0.009360447796296587,0.0553210180418114
cluster-4,6,111,they,59,1.0239017767209666,0.053865704681479054,0.019348061274087083,0.05515319072769329
cluster-4,7,1018,group,6,1.3343382702662536,0.04132163646798393,0.010881324573919314,0.055137040929260625
cluster-4,8,111,they,58,1.0455525489319402,0.05263589407231287,0.018501387604070305,0.05503359321261832
cluster-4,9,111,they,56,1.0340999302702873,0.05181602033286874,0.018422991893883568,0.05358294301310335
cluster-4,10,111,they,57,1.0306512455276535,0.05124210871525785,0.018281879615547437,0.05281274317084393
cluster-4,11,267,friends,9,1.4320124953624478,0.03558252029187505,0.008498094984242463,0.05095461367445293
cluster-4,12,111,they,53,1.0142269615360417,0.04911043699270312,0.017811505354427007,0.04980912929081651
cluster-4,13,111,they,55,1.0086530334360337,0.04853652537509224,0.017701751360165573,0.04895651355203181
cluster-4,14,2,!,1,1.4111939710606016,0.03427072230876445,0.008356982705906332,0.04836263670602045
