regime,prior,component,gamma_t1,gamma_late,resp_t1,resp_late,base_gamma_late
free,uniform,absurdist,0.11757619942117911,0.17486887745200994,0.11757619942117911,0.15579003540816247,
free,uniform,epistolary,0.23489253368047386,0.23406190275764902,0.23489253368047386,0.15200135211443874,
free,uniform,scientific_explainer,0.17110489262272205,0.05733782096119264,0.17110489262272205,0.13218940921338332,
free,uniform,fairy_tale,0.1412642559878004,0.1470750296119274,0.1412642559878004,0.1527998296022584,
free,uniform,noir_detective,0.2922542587945177,0.30169851422005517,0.2922542587945177,0.22327356984383148,
free,uniform,base,0.04290785949330674,0.08495785499716552,0.04290785949330674,0.18394580381792566,
free,free,absurdist,0.1480976481588944,0.18280596623331605,0.1480976481588944,0.18034686801944436,
free,free,epistolary,0.23550762254064955,0.23469707101398676,0.23550762254064955,0.20441315369896226,
free,free,scientific_explainer,0.15931537178893918,0.07118448745445487,0.15931537178893918,0.10938672976819763,
free,free,fairy_tale,0.1410475523001069,0.14738875900278883,0.1410475523001069,0.14737002730929175,
free,free,noir_detective,0.3091828579358771,0.3020087287901599,0.3091828579358771,0.33099944896696226,
free,free,base,0.006848947275533168,0.061914987505293284,0.006848947275533168,0.027483772237141782,
anchored:absurdist,uniform,absurdist,0.3617056576968002,0.8835593260783403,,,0.08467628403428866
anchored:absurdist,free,absurdist,0.4158637853472998,0.8992599123108168,,,0.06073910854781076
anchored:epistolary,uniform,epistolary,0.9981802916615683,0.9962728874873327,,,0.002590451757171786
anchored:epistolary,free,epistolary,0.9997732242129891,0.9976993295834315,,,0.0008332746630066412
anchored:scientific_explainer,uniform,scientific_explainer,0.7215832657142149,0.2101498797840652,,,0.5610620640212568
anchored:scientific_explainer,free,scientific_explainer,0.7459186825526777,0.31353332170214726,,,0.42296417992603635
anchored:fairy_tale,uniform,fairy_tale,0.9651179974747379,0.9994834324749758,,,0.0004922749584956384
anchored:fairy_tale,free,fairy_tale,0.9634051661592206,0.9997403159579005,,,0.0002380921470535865
anchored:noir_detective,uniform,noir_detective,0.9566549934370638,0.9998128692537293,,,0.00018419355588602366
anchored:noir_detective,free,noir_detective,0.9909418523332403,0.9999840569521258,,,1.4639847787831297e-05
