regime,prior,component,gamma_t1,gamma_late,resp_t1,resp_late
free,uniform,cluster-0,0.13105275422995932,0.05161945669654975,0.13105275422995932,0.17028279270250643
free,uniform,cluster-1,0.27983034529467427,0.2929439763928128,0.27983034529467427,0.2131172832385928
free,uniform,cluster-2,0.3589800487753802,0.3901332525021899,0.3589800487753802,0.2317531301129435
free,uniform,cluster-3,0.08243852041958653,0.09500690063505633,0.08243852041958653,0.18776196479515397
free,uniform,cluster-4,0.14769833128039916,0.17029641377339103,0.14769833128039916,0.1970848291508033
free,free,cluster-0,0.01915970373734508,0.030852217493743218,0.01915970373734508,0.033876308641624664
free,free,cluster-1,0.349337818260458,0.3182614921385385,0.349337818260458,0.3260467090158204
free,free,cluster-2,0.5025287786634447,0.42825576105238644,0.5025287786634447,0.39819990542200734
free,free,cluster-3,0.04201305935790739,0.07907532603960227,0.04201305935790739,0.11016419078998015
free,free,cluster-4,0.0869606399808446,0.1435552032757296,0.0869606399808446,0.13171288613056756
anchored:cluster-0,uniform,cluster-0,0.23125351667095206,0.11125298823644558,,
anchored:cluster-0,free,cluster-0,0.038891059559183684,0.07677689124709798,,
anchored:cluster-1,uniform,cluster-1,0.23888837277255856,0.3722992700047443,,
anchored:cluster-1,free,cluster-1,0.3145447740288896,0.39919170894558925,,
anchored:cluster-2,uniform,cluster-2,0.5959959987896841,0.5100016560794929,,
anchored:cluster-2,free,cluster-2,0.6534899090179264,0.5409229782433704,,
anchored:cluster-3,uniform,cluster-3,0.07838548166210701,0.07762129995330944,,
anchored:cluster-3,free,cluster-3,0.03045634486179492,0.06875693558365302,,
anchored:cluster-4,uniform,cluster-4,0.2262000357857383,0.22692233959611982,,
anchored:cluster-4,free,cluster-4,0.12838577120271444,0.19074452045068424,,
