t,n_prefixes,absurdist,epistolary,scientific_explainer,fairy_tale,noir_detective
0,0,,,,,
1,200,0.08196857712031444,0.14143010999306266,0.6443118252915855,0.01692795196795993,0.11536153562697177
2,200,0.5266683334458886,0.04994992406915328,0.16337533163968204,0.06935682180071762,0.1906495890445163
3,200,0.3767434269248668,0.13313909137188043,0.13509462413486267,0.2292792377410518,0.12574361982734317
4,200,0.27599689256830967,0.12453912085027034,0.18874640234114215,0.26360787457637924,0.1471097096639011
5,200,0.4116100241637085,0.057799938533726225,0.21254693990806628,0.15593276349885488,0.16211033389561383
6,200,0.33595257172735543,0.061950930272969953,0.1543323853552236,0.30085410018718195,0.1469100124572908
7,200,0.3289116829340742,0.0336338031749005,0.3509411016913859,0.17751434405005512,0.1089990681495691
8,200,0.39245377086912236,0.03470966534855097,0.2159913095633459,0.21722306619677298,0.1396221880222007
9,200,0.35537014694036634,0.023843719567187262,0.26875292359378333,0.2416509154112834,0.11038229448737977
10,200,0.3729906569453433,0.0551237308784831,0.2735312272939705,0.16751576296875903,0.13083862191343212
11,200,0.4239469816907654,0.036798266439856134,0.24971091327599254,0.11027523113530618,0.17926860745805648
12,200,0.3416711324845373,0.027312733551044823,0.2624959084112777,0.16782742685140045,0.2006927987017319
13,200,0.4270661937638376,0.04729412381784873,0.19711236001739765,0.14351271100787819,0.18501461139303851
14,200,0.3525589451443849,0.06467222601512611,0.20441464770698448,0.19462472243772644,0.18372945869576535
15,200,0.35295953135250246,0.03200587634820827,0.26413742806102275,0.18727852435489623,0.16361863988337025
16,200,0.3764002188928965,0.042813419519238144,0.23319085419657282,0.1877378067082687,0.15985770068299462
17,200,0.33893545774786843,0.04711067674948237,0.2493032881644217,0.1705160423998917,0.194134534938324
18,200,0.3540230913159107,0.05383185755285885,0.21684169841082354,0.18693408494727953,0.18836926777313232
19,200,0.3362656173300369,0.04064344870931991,0.27141900053559165,0.16441368987198227,0.18725824355306275
20,200,0.31658387305347535,0.07091198369073679,0.2480515249005232,0.20103233823424205,0.16342028012102539
21,200,0.308343166411733,0.042109983365238024,0.28446371081428945,0.1792167096802427,0.1858664297284605
22,200,0.35147620489141485,0.04248444181431856,0.2441451264019931,0.1973800539338771,0.1645141729583972
23,200,0.36406391815629907,0.021850638729340618,0.22994819219862744,0.21279240807426225,0.17134484284146465
24,200,0.3505905446998058,0.0529894076368045,0.2719453255842777,0.15438366355162697,0.17009105852749012
25,200,0.354321717694166,0.024384971568248256,0.29681173938663663,0.16227075733231308,0.16221081401862833
26,200,0.37814332930884303,0.024917998620908946,0.326185670944439,0.1496195003891506,0.12113350073667392
27,200,0.3716537395724861,0.06525395419420989,0.2718455990794068,0.13620297648763782,0.15504373066626415
28,200,0.3761840742629342,0.028271031359943036,0.29072970254481656,0.15647935320983009,0.14833583862244987
29,200,0.3181348220375794,0.05020123590108307,0.3019209106246668,0.16296511449984857,0.16677791693679925
30,200,0.33705676219379155,0.03376850938234804,0.303133290665252,0.17425928629954604,0.15178215145905147
31,200,0.37684275074665796,0.017134901622524686,0.29045290494490844,0.15970510169959506,0.15586434098630986
