rollout,tau_gamma,tau_beta,winner_gamma,winner_beta,mean_l1_beta_gamma
0,1.0,1.0,epistolary,epistolary,0.00204783661209468
1,1.0,1.0,scientific_explainer,base,0.2165935115079462
2,1.0,1.0,noir_detective,noir_detective,0.0010422031638000605
3,1.0,1.0,noir_detective,noir_detective,0.05684627863880985
4,1.0,1.0,noir_detective,noir_detective,0.0009698839521947277
5,1.0,2.0,scientific_explainer,base,0.042864347380385165
6,1.0,1.0,epistolary,epistolary,0.0009896633398014827
7,1.0,1.0,noir_detective,noir_detective,0.0022203449585507405
8,1.0,1.0,epistolary,epistolary,0.32341620322247405
9,1.0,1.0,epistolary,epistolary,0.007760249505286841
10,1.0,1.0,noir_detective,noir_detective,0.0010240465862048618
11,1.0,1.0,epistolary,epistolary,0.0018948992765255581
12,1.0,1.0,absurdist,absurdist,0.12857382042574073
13,1.0,1.0,epistolary,epistolary,0.004203749205461488
14,1.0,1.0,fairy_tale,fairy_tale,0.023466851063208796
15,1.0,1.0,absurdist,base,0.052879800164679545
16,1.0,1.0,epistolary,epistolary,0.053139847908952126
17,1.0,1.0,fairy_tale,fairy_tale,0.04465028010275778
18,2.0,2.0,absurdist,absurdist,0.0069397326940254305
19,1.0,1.0,noir_detective,noir_detective,0.00026707745201181866
20,1.0,1.0,noir_detective,noir_detective,0.0013932727207856817
21,1.0,1.0,scientific_explainer,scientific_explainer,0.11537781956848994
22,1.0,1.0,fairy_tale,fairy_tale,0.009016320709181637
23,1.0,1.0,noir_detective,noir_detective,0.0013632546712458885
24,1.0,1.0,noir_detective,noir_detective,0.001111081588762742
25,1.0,1.0,absurdist,absurdist,0.02371284797215242
26,1.0,1.0,scientific_explainer,base,0.1872619839868816
27,1.0,1.0,epistolary,epistolary,0.0013674861076800984
28,1.0,1.0,epistolary,epistolary,0.0007539681441276265
29,1.0,1.0,fairy_tale,fairy_tale,0.013807653429136903
30,1.0,1.0,noir_detective,noir_detective,0.0008929386449987362
31,1.0,1.0,noir_detective,noir_detective,0.001258488720856548
32,1.0,1.0,fairy_tale,fairy_tale,0.11243450781789494
33,1.0,1.0,noir_detective,noir_detective,0.002579555887433414
34,1.0,1.0,noir_detective,noir_detective,0.0011172771307951755
35,1.0,1.0,noir_detective,noir_detective,0.0029869291133881484
36,1.0,1.0,fairy_tale,fairy_tale,0.009065665254839985
37,1.0,1.0,epistolary,epistolary,0.0009166830120915934
38,1.0,1.0,fairy_tale,fairy_tale,0.008845173283601045
39,1.0,1.0,fairy_tale,fairy_tale,0.00954821544574076
40,1.0,1.0,epistolary,epistolary,0.001103950839235108
41,1.0,1.0,absurdist,absurdist,0.036035970525309484
42,1.0,1.0,noir_detective,noir_detective,0.001671725191369048
43,2.0,1.0,absurdist,absurdist,0.15226888097322638
44,1.0,1.0,scientific_explainer,scientific_explainer,0.28493085711347066
45,1.0,1.0,noir_detective,noir_detective,0.0005802617524756956
46,1.0,1.0,noir_detective,noir_detective,0.0010425450808307043
47,1.0,1.0,absurdist,absurdist,0.1187507165906304
48,1.0,1.0,noir_detective,noir_detective,0.0021118631197255444
