rollout,tau_gamma,tau_eta,winner_gamma,winner_eta,mean_l1_eta_gamma
0,3.0,3.0,cluster-2,cluster-2,0.9425362440845875
1,3.0,4.0,cluster-1,cluster-1,0.06838180389618857
2,1.0,3.0,cluster-4,cluster-1,1.2402414561212733
3,1.0,3.0,cluster-2,cluster-1,0.13913816471243906
4,4.0,5.0,cluster-2,cluster-1,1.2297496683918254
5,1.0,3.0,cluster-1,cluster-2,0.6366668922354728
6,1.0,1.0,cluster-3,cluster-1,0.42277928126799663
7,1.0,1.0,cluster-2,cluster-4,1.6193128295384196
8,1.0,4.0,cluster-1,cluster-1,1.315768074077572
9,2.0,2.0,cluster-0,cluster-0,0.12211899571006381
10,5.0,5.0,cluster-2,cluster-4,1.8464975260540566
11,1.0,7.0,cluster-2,cluster-2,1.2579282887686947
12,1.0,1.0,cluster-1,cluster-4,0.20748170430469015
13,1.0,3.0,cluster-1,cluster-1,0.2834573267128458
14,1.0,7.0,cluster-1,cluster-2,0.5467359471463898
15,3.0,3.0,cluster-4,cluster-1,0.12726353842336965
16,1.0,4.0,cluster-1,cluster-1,0.44054818557418274
17,2.0,1.0,cluster-2,cluster-2,0.721903481945243
18,7.0,3.0,cluster-3,cluster-1,1.826215434311861
19,3.0,3.0,cluster-1,cluster-2,0.8750838464634678
20,1.0,9.0,cluster-2,cluster-3,0.9181997535104086
21,1.0,1.0,cluster-1,cluster-2,0.3648113583961631
22,1.0,1.0,cluster-1,cluster-1,0.04345204177787591
23,1.0,4.0,cluster-2,cluster-2,0.7505206233193585
24,1.0,1.0,cluster-1,cluster-1,1.3150426194662292
25,1.0,4.0,cluster-1,cluster-4,0.4924565287439566
26,1.0,3.0,cluster-2,cluster-2,0.02284540006973691
27,3.0,2.0,cluster-3,cluster-1,1.0134230348120745
28,1.0,6.0,cluster-2,cluster-1,0.23561725476433373
29,2.0,5.0,cluster-2,cluster-1,1.418899824754462
30,3.0,7.0,cluster-4,cluster-1,0.07480934096685517
31,2.0,3.0,cluster-0,cluster-1,0.6193550806398066
32,1.0,2.0,cluster-4,cluster-2,0.20690527031296074
33,1.0,4.0,cluster-2,cluster-2,0.6238726584689054
34,4.0,6.0,cluster-4,cluster-1,0.5595971508620653
35,7.0,3.0,cluster-4,cluster-4,0.9680942254931298
36,1.0,2.0,cluster-3,cluster-1,0.06294062149330978
37,5.0,4.0,cluster-4,cluster-1,1.093213122995866
38,4.0,1.0,cluster-3,cluster-1,0.4325460516570795
39,1.0,1.0,cluster-1,cluster-2,1.1131441988801687
40,1.0,5.0,cluster-2,cluster-1,0.8190837296434269
41,1.0,6.0,cluster-0,cluster-1,0.15167486309909545
42,1.0,5.0,cluster-2,cluster-1,1.329994681940553
43,1.0,1.0,cluster-1,cluster-4,0.20546989499689888
44,1.0,5.0,cluster-1,cluster-2,1.180410090813061
45,1.0,3.0,cluster-4,cluster-1,0.5333024922916723
46,2.0,4.0,cluster-4,cluster-2,0.7362498833598401
47,4.0,3.0,cluster-2,cluster-2,0.07762668006738854
48,1.0,4.0,cluster-2,cluster-1,0.22505620672435028
49,1.0,3.0,cluster-1,cluster-1,0.4929045943211002
50,2.0,2.0,cluster-1,cluster-1,0.7780724941879384
51,2.0,3.0,cluster-2,cluster-1,0.06648361130526366
52,1.0,3.0,cluster-4,cluster-1,1.6113852797446995
53,3.0,3.0,cluster-2,cluster-2,0.06527549848148616
54,3.0,3.0,cluster-1,cluster-1,1.7579106341854256
55,6.0,5.0,cluster-1,cluster-1,1.8314700029761661
56,1.0,4.0,cluster-2,cluster-2,0.4636444633504347
57,2.0,2.0,cluster-1,cluster-1,0.4901246772095844
58,1.0,6.0,cluster-1,cluster-1,1.5603615824093946
59,1.0,1.0,cluster-1,cluster-1,1.2822440346293744
60,2.0,2.0,cluster-4,cluster-4,0.693248606803372
61,4.0,5.0,cluster-2,cluster-2,0.6888317002741872
