component,rank,token_id,token,count,p
cluster-0,0,15,.,20911,0.083359908157408
cluster-0,1,3,"""",13342,0.053188181644237525
cluster-0,2,13,",",10163,0.04051597678423369
cluster-0,3,85,the,8868,0.035353817207730086
cluster-0,4,2,!,8408,0.03352015434657823
cluster-0,5,111,they,6922,0.02759662606033548
cluster-0,6,32,a,5973,0.023813699853306974
cluster-0,7,93,to,5149,0.02052905159767842
cluster-0,8,94,and,4371,0.01742776962816506
cluster-0,9,196,said,3182,0.01268814975444863
cluster-0,10,141,but,2823,0.01125709547802794
cluster-0,11,127,was,2588,0.010320332929396011
cluster-1,0,13,",",17409,0.06767709357786753
cluster-1,1,85,the,14084,0.05475197375326044
cluster-1,2,15,.,13695,0.05323983191513346
cluster-1,3,32,a,11581,0.04502217678454117
cluster-1,4,94,and,5666,0.0220290688860296
cluster-1,5,115,of,5098,0.01982110856711927
cluster-1,6,93,to,4910,0.019090304799592617
cluster-1,7,108,in,3854,0.014985364488379047
cluster-1,8,106,she,3840,0.014930942931222813
cluster-1,9,117,her,3798,0.01476767825975409
cluster-1,10,130,with,3505,0.013628712813555629
cluster-1,11,3,"""",3288,0.01278517867763391
cluster-2,0,13,",",16254,0.06302635048156707
cluster-2,1,15,.,15432,0.05983916745506149
cluster-2,2,85,the,15197,0.05892798982582938
cluster-2,3,32,a,10648,0.0412899173348636
cluster-2,4,115,of,5844,0.022663120182390615
cluster-2,5,106,she,4635,0.017975402081362342
cluster-2,6,93,to,4257,0.016509763171363438
cluster-2,7,103,he,4232,0.016412829381019595
cluster-2,8,94,and,3803,0.01474944553871923
cluster-2,9,117,her,3626,0.014063154303084819
cluster-2,10,108,in,3221,0.012492826899514559
cluster-2,11,165,had,3155,0.012236921693006811
cluster-3,0,3,"""",17129,0.06646361572933439
cluster-3,1,13,",",13771,0.05343472947019225
cluster-3,2,15,.,12763,0.04952373561991969
cluster-3,3,32,a,10281,0.039893689254466805
cluster-3,4,2,!,8957,0.03475662987176752
cluster-3,5,85,the,6558,0.025448619706287465
cluster-3,6,40,i,4010,0.015562496362542921
cluster-3,7,8,',3722,0.014445069548179328
cluster-3,8,94,and,3705,0.014379110326498152
cluster-3,9,93,to,3224,0.012512852348342285
cluster-3,10,103,he,3158,0.01225677537005063
cluster-3,11,30,?,2869,0.011135468601470503
cluster-4,0,15,.,16660,0.06477787886563867
cluster-4,1,13,",",12664,0.049241452243761696
cluster-4,2,85,the,12488,0.04855716518534071
cluster-4,3,3,"""",11128,0.04326949246117838
cluster-4,4,32,a,10395,0.040419592382640875
cluster-4,5,111,they,9668,0.0375930202720041
cluster-4,6,2,!,6188,0.02406279888958873
cluster-4,7,94,and,5844,0.022725328729947668
cluster-4,8,93,to,4205,0.01635290549840204
cluster-4,9,120,it,3312,0.012880926275845445
cluster-4,10,130,with,2530,0.009840514459452103
cluster-4,11,108,in,2441,0.00949448293559148
