,pos0,pos1,pos2,pos3,pos4,pos5,pos6,pos7,pos8,pos9,pos10,pos11,pos12,pos13,pos14,pos15,pos16,pos17,pos18,pos19,pos20,pos21,pos22,pos23,pos24,pos25,pos26,pos27,pos28,pos29,pos30,pos31,pos32,pos33,pos34,pos35,pos36,pos37,pos38,pos39
the,0.19315660168013948,0.043647963227135836,0.012838801711840228,0.018525122840386748,0.03693136788714535,0.0341773656680932,0.022844349342209542,0.03023458551275955,0.05040418449833571,0.06914724996037407,0.07142574100491361,0.03829846251386908,0.039348549690917736,0.03568315105404977,0.04739261372642257,0.039764621968616264,0.03774369947693771,0.03760500871770486,0.0372880012680298,0.03827864954826438,0.037545569820890794,0.03873434775717229,0.04319226501822793,0.04323189094943731,0.04394515771120621,0.04566888571881439,0.04630290061816453,0.04503487081946426,0.041745918529085435,0.042062925978760504,0.042201616737993344,0.04136947218259629,0.042023300047551115,0.04035901093675701,0.03821921065145031,0.04006181645268664,0.03970518307180219,0.03982406086543034,0.04259787605008718,0.0413496592169916
dear,0.2007251545411317,0.0,0.0,0.0,0.0,0.0,1.981296560469171e-05,0.0,0.0,0.0,0.0,0.0,1.981296560469171e-05,0.0,5.943889681407513e-05,0.00011887779362815027,0.0001585037248375337,0.00021794262165160882,0.00041607227769852593,0.00041607227769852593,0.0003962593120938342,0.0007925186241876684,0.0005349500713266762,0.0005745760025360596,0.0003764463464891425,0.00045569820890790935,0.00027738151846568395,0.00027738151846568395,0.0003368204152797591,0.00021794262165160882,0.00021794262165160882,0.00013869075923284198,0.0003170074496750674,0.0001783166904422254,0.00013869075923284198,0.0001585037248375337,0.00021794262165160882,0.0001783166904422254,0.00025756855286099224,0.00045569820890790935
once,0.20946267237280075,1.981296560469171e-05,5.943889681407513e-05,0.00013869075923284198,0.0,0.0,1.981296560469171e-05,1.981296560469171e-05,1.981296560469171e-05,0.0,1.981296560469171e-05,5.943889681407513e-05,5.943889681407513e-05,0.0,0.00011887779362815027,7.925186241876684e-05,0.0001783166904422254,7.925186241876684e-05,3.962593120938342e-05,0.00023775558725630053,0.00021794262165160882,0.0001981296560469171,0.00011887779362815027,0.0001585037248375337,0.0001783166904422254,0.0001585037248375337,9.906482802345855e-05,0.0001783166904422254,0.0001585037248375337,0.00013869075923284198,9.906482802345855e-05,0.00023775558725630053,0.0001783166904422254,0.00025756855286099224,0.0001585037248375337,0.00011887779362815027,0.0001981296560469171,0.00021794262165160882,0.00011887779362815027,0.0001783166904422254
one,0.02421144396893327,5.943889681407513e-05,1.981296560469171e-05,0.00021794262165160882,0.00027738151846568395,0.0005151371057219845,0.0009510223490252021,0.0011293390394674274,0.0027936281502615313,0.002536059597400539,0.003150261531145982,0.0032295133935647488,0.0033483911871928992,0.00439847836424156,0.004319226501822793,0.0045371691234744015,0.004755111745126011,0.004220161673799334,0.00544856554129022,0.004299413536218101,0.005488191472499604,0.007370423204945316,0.006894912030432715,0.00602314154382628,0.0056268822317324454,0.005825011887779363,0.005844824853384055,0.007568552860992233,0.008262006657156443,0.009331906799809796,0.012779362815026153,0.012898240608654304,0.014007766682517039,0.014285148200982723,0.016306070692661278,0.01634569662387066,0.014503090822634332,0.012601046124583928,0.01168964970676811,0.009668727215089554
in,0.048700269456332226,0.004576795054683785,0.014344587097796797,0.038674908860358216,0.014780472341100016,0.2134252654937391,0.007568552860992233,0.02585592011412268,0.01692027262640672,0.011372642257093042,0.014879537169123474,0.014721033444285941,0.014463464891424948,0.021140434300206054,0.018703439530828973,0.01042161990806784,0.012204786812490093,0.009094151212553496,0.010718814392138214,0.009351719765414487,0.009351719765414487,0.008420510381993977,0.009807417974322396,0.009648914249484863,0.00960928831827548,0.009926295767950547,0.009331906799809796,0.008361071485179901,0.008380884450784594,0.008995086384530036,0.009094151212553496,0.009807417974322396,0.009113964178158187,0.008499762244412744,0.008479949278808052,0.009173403074972261,0.008876208590901886,0.009232841971786337,0.00937153273101918,0.009569662387066096
under,0.027520209224916787,0.0001981296560469171,0.00021794262165160882,0.0005745760025360596,0.0003368204152797591,0.00041607227769852593,0.00045569820890790935,0.0009113964178158187,0.0006340148993501347,0.0031898874623553656,0.0009906482802345855,0.0008321445553970519,0.0008717704866064353,0.0018822317324457124,0.0019218576636550958,0.0022190521477254716,0.008697891900459661,0.002674750356633381,0.005488191472499604,0.00439847836424156,0.00313044856554129,0.0021398002853067048,0.0029719448407037564,0.0017435409732128706,0.0019416706292597877,0.001565224282770645,0.001783166904422254,0.0014661594547471866,0.001089713108258044,0.0011887779362815027,0.0010500871770486606,0.0008519575210017436,0.0008123315897923601,0.000752892692978285,0.000752892692978285,0.0005745760025360596,0.0006736408305595182,0.0005547630369313679,0.0006934537961642099,0.0006538278649548265
a,0.025202092249167855,0.08089633856395625,0.2631954350927247,0.025301157077191314,0.07271358376921858,0.1326081787922016,0.21802187351402758,0.055753685211602476,0.06601680139483278,0.049155967665240136,0.0912981455064194,0.09300206054842289,0.09096132509113965,0.06417419559359645,0.0738627357742907,0.08285782215882073,0.08299651291805357,0.06873117768267555,0.050245680773498176,0.05555555555555555,0.055535742589950865,0.04606514503090823,0.048482326834680615,0.054485655412902206,0.05399033127278491,0.04352908543350769,0.043152639087018545,0.044638611507370425,0.04481692819781265,0.04533206530353463,0.04507449675067364,0.04051751466159455,0.039665557140592805,0.0394278015533365,0.03810033285782216,0.03905135520684736,0.040121255349500715,0.04010144238389602,0.039071168172452056,0.039903312727849104
suddenly,0.011768901569186876,0.0,1.981296560469171e-05,0.0,0.0,0.0,1.981296560469171e-05,3.962593120938342e-05,0.0,1.981296560469171e-05,0.0,1.981296560469171e-05,0.0,0.0,5.943889681407513e-05,1.981296560469171e-05,3.962593120938342e-05,1.981296560469171e-05,3.962593120938342e-05,5.943889681407513e-05,5.943889681407513e-05,5.943889681407513e-05,0.00011887779362815027,7.925186241876684e-05,7.925186241876684e-05,9.906482802345855e-05,0.00011887779362815027,0.00011887779362815027,0.00011887779362815027,9.906482802345855e-05,0.0001783166904422254,9.906482802345855e-05,7.925186241876684e-05,0.00021794262165160882,0.0001585037248375337,0.00011887779362815027,0.0001585037248375337,0.0001585037248375337,0.0001585037248375337,0.00013869075923284198
unexpectedly,0.0023181169757489303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mysterious,0.003090822634331907,0.0,0.0,0.0,1.981296560469171e-05,1.981296560469171e-05,3.962593120938342e-05,1.981296560469171e-05,0.00013869075923284198,5.943889681407513e-05,0.0001585037248375337,9.906482802345855e-05,0.00011887779362815027,3.962593120938342e-05,7.925186241876684e-05,5.943889681407513e-05,3.962593120938342e-05,3.962593120938342e-05,5.943889681407513e-05,5.943889681407513e-05,0.00011887779362815027,5.943889681407513e-05,7.925186241876684e-05,0.0,3.962593120938342e-05,1.981296560469171e-05,7.925186241876684e-05,0.00011887779362815027,9.906482802345855e-05,5.943889681407513e-05,5.943889681407513e-05,3.962593120938342e-05,3.962593120938342e-05,7.925186241876684e-05,1.981296560469171e-05,3.962593120938342e-05,7.925186241876684e-05,3.962593120938342e-05,1.981296560469171e-05,9.906482802345855e-05
