token,token_id,p_mixture_first_token,total_count_in_window,count_at_pos0,frac_of_occurrences_at_pos0,p_token_at_pos0
in,108,0.04647945612668991,41341.0,5063.0,0.12246921941897874,0.07938349613509149
a,32,0.03694199398159981,147187.0,2038.0,0.013846331537431974,0.03195409147211464
under,394,0.02702835574746132,4662.0,2520.0,0.5405405405405406,0.039511437934116246
quietly,1592,0.021411318331956863,1214.0,964.0,0.7940691927512356,0.0151146929240032
beneath,1227,0.01762293465435505,2034.0,1079.0,0.5304818092428711,0.016917794258298185
eagerly,1945,0.01703125238418579,810.0,794.0,0.980246913580247,0.012449238777654087
bright,289,0.014863354153931141,7801.0,820.0,0.10511472888091271,0.012856896470625127
an,201,0.01194784790277481,5847.0,400.0,0.06841115101761587,0.006271656814939086
across,1199,0.011155219748616219,1709.0,739.0,0.43241661790520775,0.011586885965599963
suddenly,443,0.011105034500360489,2445.0,1275.0,0.5214723926380368,0.01999090609761834
near,872,0.010655364952981472,1297.0,696.0,0.5366229760986893,0.01091268285799401
among,1131,0.010492139495909214,1172.0,514.0,0.43856655290102387,0.008059079007196726
amidst,3064,0.010418136604130268,626.0,626.0,1.0,0.00981514291537967
one,208,0.010106679983437061,19739.0,1332.0,0.06748062211864836,0.02088461719374716
through,364,0.010011602193117142,7897.0,659.0,0.08344941116879828,0.010332554602612145
quickly,1207,0.009285066276788712,764.0,629.0,0.8232984293193717,0.009862180341491713
with,130,0.009252483956515789,18023.0,605.0,0.033568218387615825,0.009485880932595368
beside,1513,0.009178212843835354,933.0,883.0,0.9464094319399786,0.013844682418978033
at,222,0.008897772058844566,7857.0,630.0,0.08018327605956473,0.009877859483529062
on,139,0.00863743294030428,13611.0,1151.0,0.08456395562412754,0.01804669248498722
once,762,0.0085457069799304,3203.0,1022.0,0.3190758663752732,0.016024083162169366
gently,1288,0.008476422168314457,1031.0,533.0,0.5169738118331717,0.008356982705906332
the,85,0.00845025572925806,120579.0,297.0,0.002463115467867539,0.004656705185092272
mysterious,2367,0.008021657355129719,778.0,320.0,0.41131105398457585,0.005017325451951269
above,880,0.008009511046111584,1435.0,358.0,0.2494773519163763,0.005613132849370483
along,1313,0.006932943128049374,852.0,260.0,0.3051643192488263,0.004076576929710406
calmly,3872,0.0067563243210315704,67.0,66.0,0.9850746268656716,0.0010348233744649493
brightly,1242,0.006680954247713089,658.0,409.0,0.621580547112462,0.006412769093275216
happily,1957,0.006508395541459322,933.0,749.0,0.8027867095391211,0.01174367738597344
slowly,975,0.00634755427017808,481.0,229.0,0.4760914760914761,0.003590523526552627
