true,pred,correct,final_gamma_true,n_tokens
cluster-0,cluster-0,True,1.0,127
cluster-0,cluster-3,False,0.0044459360435360265,108
cluster-0,cluster-0,True,1.0,127
cluster-0,cluster-0,True,1.0,127
cluster-0,cluster-0,True,0.8994810832017235,127
cluster-0,cluster-0,True,1.0,127
cluster-0,cluster-0,True,1.0,104
cluster-0,cluster-0,True,1.0,127
cluster-0,cluster-0,True,1.0,127
cluster-0,cluster-0,True,1.0,127
cluster-0,cluster-0,True,1.0,127
cluster-0,cluster-0,True,1.0,127
cluster-0,cluster-0,True,1.0,105
cluster-0,cluster-0,True,1.0,127
cluster-0,cluster-0,True,1.0,127
cluster-0,cluster-0,True,1.0,106
cluster-0,cluster-0,True,1.0,127
cluster-0,cluster-0,True,1.0,127
cluster-0,cluster-0,True,0.999999999946426,126
cluster-0,cluster-0,True,1.0,127
cluster-0,cluster-0,True,1.0,127
cluster-0,cluster-0,True,1.0,127
cluster-0,cluster-0,True,1.0,127
cluster-0,cluster-0,True,1.0,127
cluster-0,cluster-0,True,1.0,127
cluster-0,cluster-0,True,0.9999999999999818,90
cluster-0,cluster-0,True,1.0,127
cluster-0,cluster-0,True,1.0,127
cluster-0,cluster-0,True,1.0,127
cluster-0,cluster-0,True,0.9999999998387512,127
cluster-0,cluster-0,True,1.0,127
cluster-0,cluster-0,True,1.0,127
cluster-0,cluster-0,True,1.0,127
cluster-0,cluster-0,True,1.0,127
cluster-0,cluster-0,True,1.0,127
cluster-0,cluster-0,True,1.0,127
cluster-0,cluster-0,True,1.0,127
cluster-0,cluster-0,True,1.0,127
cluster-0,cluster-0,True,0.9999999999999971,127
cluster-0,cluster-0,True,1.0,112
cluster-0,cluster-0,True,1.0,107
cluster-0,cluster-0,True,1.0,127
cluster-0,cluster-0,True,1.0,127
cluster-0,cluster-0,True,1.0,127
cluster-0,cluster-0,True,1.0,127
cluster-0,cluster-0,True,1.0,127
cluster-0,cluster-0,True,1.0,127
cluster-0,cluster-0,True,1.0,127
cluster-0,cluster-0,True,1.0,127
cluster-0,cluster-0,True,1.0,127
