arm,length,H_r,H_r_norm,L_best,L_mix,spread,H_tok,segments,switch_rate,argmax_k,r_cluster-0,r_cluster-1,r_cluster-2,r_cluster-3,r_cluster-4,true_k
free,127,2.188574525467098e-08,1.5955660213768375,-2.083865188238189,-2.0906064326842633,0.42577932763287407,1.2920963293236338,34,0.8015873015873016,cluster-2,1.355339142102042e-20,1.007842325577958e-09,0.9999999989921662,3.2807354554176623e-24,3.7650318556230513e-22,
free,127,1.1543044347689884e-15,1.5828430474609694,-2.1967374546321357,-2.2051897748306715,0.5827295498585139,1.2788166099049472,35,0.8015873015873016,cluster-1,1.0367133776566668e-32,1.0,3.034947540420916e-17,7.233009756637269e-33,8.643936199473024e-27,
free,127,8.535719870171343e-10,1.5920359209475405,-2.087161807563361,-2.0939030520157424,0.5766935573788139,1.3039553385639904,33,0.7936507936507936,cluster-2,1.5568136317379568e-32,1.7218600812899154e-12,0.9999999999662919,5.448209730670472e-20,3.199713475982631e-11,
free,127,7.17173882173283e-15,1.5888095248075582,-2.1172708826740894,-2.1240121271265497,0.6136986439622296,1.2804950778931623,28,0.746031746031746,cluster-2,1.4164664836069695e-34,1.9324822869437563e-16,1.0,3.661377164149877e-24,4.4944199019915606e-18,
free,127,0.11070369279151586,1.6033401190032763,-2.1202712171659694,-2.1269569067778478,0.32309728907787916,1.3323213883039935,25,0.8015873015873016,cluster-2,5.0031206250391124e-05,0.0039043835484675942,0.9794010558402688,0.016644529405032377,1.4804733968032524e-18,
free,127,7.987556577437023e-13,1.5331181821345,-1.9071235957108146,-1.9138648401632745,1.2861771470918428,1.253130697011158,25,0.753968253968254,cluster-2,1.1491745728409507e-71,2.4219742795102337e-14,0.9999999999999716,1.041852744858659e-37,3.0815550744810497e-16,
free,127,1.1837803941360598e-08,1.5699956178378556,-1.6901390496201403,-1.6985913698134951,0.7104733684870204,1.3305509840139054,20,0.7777777777777778,cluster-1,6.509651497522457e-40,0.9999999994705604,5.294368857930439e-10,3.431696010280672e-16,6.7475170532873526e-40,
free,127,1.3950446927740738e-13,1.5761138135139892,-2.4250065360482282,-2.4317477805006886,0.7833509069728102,1.2530510967764816,18,0.7222222222222222,cluster-2,6.222544496830511e-44,4.2146083473068284e-15,1.0,1.3747185221435348e-22,4.8513570421236763e-29,
free,127,0.2589393497288969,1.6017448677033987,-2.063256451464075,-2.0715068401278094,0.3625899187223176,1.316310969362641,29,0.753968253968254,cluster-1,3.388749500702195e-08,0.9279926298388657,9.305780692797254e-21,1.4524954658002397e-05,0.071992811318976,
free,127,0.00018007152752371093,1.5605555525349033,-2.022900678980069,-2.0296418919074655,1.0482956293061023,1.2627222288765754,24,0.7222222222222222,cluster-2,1.516455358140791e-58,1.032367432675079e-12,0.9999851386162237,1.858681449869819e-12,1.4861380868020321e-05,
free,127,0.7199621844048315,1.5834040644151255,-2.147696427472933,-2.1538325523637463,0.6778345783864421,1.3068863281139353,26,0.746031746031746,cluster-4,2.0480335679104675e-38,0.4972709244196103,0.0036358050336533186,0.0006980898334109328,0.49839518071335165,
free,127,0.01826593946177542,1.5479839658296186,-2.0676372858483023,-2.074361823907077,0.9319561335045519,1.3076976752824376,21,0.6666666666666666,cluster-2,3.9485951369254014e-52,0.0026325552325771624,0.9973674447674079,7.472144742376168e-35,2.119850345043713e-32,
free,127,1.510609861310207e-15,1.594109077000235,-1.9699968953770914,-1.987065418771725,0.4377085768331692,1.3194234714422732,23,0.746031746031746,cluster-4,8.322609317921047e-24,9.020057232516237e-24,4.000823807686286e-17,7.211219427607561e-25,1.0,
free,110,0.03631393055123328,1.5494109348039942,-1.9605281483043324,-1.9702196039900126,1.0425446943803265,1.1113639868760943,27,0.6788990825688074,cluster-1,1.5579825916822999e-50,0.994071151418698,0.005928848578285856,4.487119190345719e-28,3.022571463728046e-12,
free,127,0.009005349075148338,1.586532897249691,-2.459187184731791,-2.489129235011873,0.5234742652712847,1.2753284762041042,30,0.7857142857142857,cluster-0,0.9988393162203185,1.3398727536342912e-29,1.5459907416103499e-27,0.0011606318168711994,5.196282459716352e-08,
free,127,2.3005151534484758e-09,1.5561755279365748,-1.9009025753952387,-1.9093548955928388,0.8809611403097317,1.2984976048591201,28,0.7857142857142857,cluster-1,2.571796642318022e-49,0.9999999999044178,9.557099576396849e-11,4.652852208729799e-43,9.706473812848999e-22,
free,127,3.776875541086305e-08,1.5554927332091508,-1.9107401690145178,-1.9174814134556595,0.9155811700295275,1.3187706272971067,33,0.7936507936507936,cluster-2,3.1677803803352175e-51,1.786340138360531e-09,0.9999999982136671,6.888711618927267e-41,8.975728703954611e-20,
free,127,1.6176859668744385e-16,1.5859923380219618,-2.201688751460999,-2.208429995913459,0.6220232145054134,1.269994645334601,36,0.8253968253968254,cluster-2,4.921089812613958e-35,1.415339427321203e-24,1.0,4.039112873510905e-18,3.7561300136047903e-26,
free,127,0.10970898359937786,1.5906769100240477,-2.031220443605438,-2.037911782697442,0.533557801734744,1.3137654670172858,23,0.7777777777777778,cluster-2,3.64146117761859e-30,1.3853542577374153e-12,0.9769430239528796,1.029720221110917e-19,0.02305697604573093,
free,120,0.02723022140835804,1.5821732900744858,-2.102415593465169,-2.1113172986154765,0.6687931060791015,1.2327076619031525,40,0.773109243697479,cluster-1,1.3924806431012247e-35,0.9957901529532777,0.004209847046717105,6.562206259724167e-19,1.8776318053005163e-18,
free,127,5.792626765530044e-13,1.5943753163628622,-2.20981627937377,-2.2182685995723053,0.48238727239173196,1.3250553147080213,27,0.7380952380952381,cluster-1,1.6143911219023763e-23,1.0,1.8312453115921835e-14,4.230772452000129e-19,2.4759246373197446e-27,
free,127,5.82646326091307e-06,1.5078224939094924,-1.9899563526544046,-1.9966975947724142,1.4293510857529528,1.2499659447577953,24,0.746031746031746,cluster-2,1.4573709415020344e-79,3.684371376232477e-07,0.9999996315628547,1.4335601412993779e-44,1.6146528958301925e-26,
free,127,1.607649800334727e-09,1.577610272446775,-2.0943130132720227,-2.1027653334699146,0.6113855557178889,1.3038483555989706,20,0.8095238095238095,cluster-1,1.7196632612612848e-32,0.9999999999342322,6.576615500517057e-11,2.5071234039262583e-30,1.9001400339964262e-34,
free,127,6.023062054704274e-06,1.6018680036679398,-2.1214614027128444,-2.129913719179901,0.3334103081170028,1.3050501610710479,35,0.7698412698412699,cluster-1,2.0834049956126276e-17,0.999999618437089,3.8127115568810747e-07,2.9172761426472025e-10,4.07963390190359e-19,
free,127,1.47508055633207e-13,1.476145683191652,-2.582506314976009,-2.589247559428469,1.4588836910217764,1.1513002101808703,27,0.7222222222222222,cluster-2,3.425213387701831e-81,4.4641655194158975e-15,1.0,9.453034907666138e-64,4.288450540045713e-44,
free,127,8.246505171827063e-13,1.6010020951500463,-2.415127010796014,-2.4451088305537056,0.34568774606299213,1.253542199965477,32,0.7857142857142857,cluster-0,1.0,8.579349629599874e-20,2.6041544884896846e-14,2.893944762375927e-18,2.784760242692242e-16,
free,127,1.650587019975505e-20,1.5745669656821382,-2.185344065268209,-2.1920853097206687,0.7541974886195866,1.246217686522888,24,0.7698412698412699,cluster-2,2.5231114721435053e-42,2.7175671124536937e-22,1.0,1.3126585901184807e-34,5.882713729225155e-23,
free,127,0.032344543504611495,1.5986205070719293,-2.1047026867002954,-2.1229576388863673,0.3992516224778542,1.327971674440175,20,0.7619047619047619,cluster-3,9.482468842719396e-23,0.004905023768483672,2.653282774746689e-15,0.994956386580624,0.00013858965088376613,
free,127,6.62883541487262e-13,1.5861208460953564,-1.5679304468350148,-1.5979122665927104,0.6641756793645421,1.3511180962888862,25,0.6746031746031746,cluster-0,0.9999999999999716,2.328762851356737e-37,4.263049446639634e-24,2.0113522734339357e-14,3.328217333153892e-18,
free,127,0.30511426990042373,1.606944888504782,-2.626368725393701,-2.6324990925457956,0.17439690537340047,1.2721078122305074,29,0.7777777777777778,cluster-2,4.374567818645842e-08,0.09111638421192417,0.9088835538964019,2.185633353798521e-10,1.7927457882402597e-08,
free,127,7.2043476477519484e-09,1.588330276866451,-1.4131376011165109,-1.4215899213126222,0.6547882800965799,1.366721173979561,33,0.7380952380952381,cluster-1,7.671689525245962e-37,0.9999999996931876,2.2593937726315561e-10,1.2990358842710329e-17,8.086906929261214e-11,
free,127,0.06473802732305246,1.5938447244071683,-2.623306394562008,-2.6416768080753354,0.5000386876384106,1.2945620116145113,42,0.8015873015873016,cluster-3,0.011940198131950451,2.765504333864507e-09,2.5998590086031413e-28,0.9880597991025585,4.918453213395534e-17,
free,127,5.724234655115734e-13,1.5822242372276905,-2.064735232375738,-2.073187552574274,0.7177582988588829,1.311186545292876,30,0.8174603174603174,cluster-1,2.580800867910011e-40,1.0,1.270020119621841e-15,3.951797053302337e-26,1.6670116802793884e-14,
free,127,9.835910896719323e-06,1.5325399034866816,-2.457399143008735,-2.4641403833757187,0.9037127156895917,1.214549529149703,29,0.7063492063492064,cluster-2,1.430092478312539e-50,6.447945223605437e-07,0.9999993552054693,6.79719043873225e-48,4.252709950955249e-42,
free,127,1.599767925016045e-17,1.5754330516351351,-2.054466427780512,-2.061207672232972,0.8135368767685773,1.264041150141497,27,0.753968253968254,cluster-2,1.3460115808994152e-45,3.771089068011032e-19,1.0,9.856031902549405e-27,1.0465719516049579e-24,
free,127,0.4286674527611511,1.5396752293660245,-2.1378856268454722,-2.143554682168688,0.9235515444297491,1.2587606089003232,36,0.7301587301587301,cluster-2,9.745236348351845e-52,0.15346193182207224,0.8465380681779198,2.949714688560072e-33,1.0014408801496557e-40,
free,127,0.003939149235455084,1.5970341941977204,-1.8497828686331201,-1.8582307574886832,0.4401550292968748,1.3069248520258165,23,0.6587301587301587,cluster-1,5.282955628369414e-25,0.9995472175900124,0.0004527824090773976,9.165169762687384e-13,3.727944380066099e-17,
free,127,0.001119712405483967,1.5771604139312656,-2.0123260978638657,-2.0190666403870443,0.5944770152174579,1.2919966151567603,23,0.8253968253968254,cluster-2,1.6268023744507464e-33,0.00011077541672138144,0.9998892245832864,7.923622379797223e-27,6.363397161153835e-31,
free,127,0.0015709762184113534,1.5624745169292291,-1.9796237495001845,-1.986363970987981,0.9486029917799581,1.2942507965223418,31,0.7619047619047619,cluster-2,4.779177806337192e-53,0.00016143493169547333,0.9998385650683156,1.5872881818740265e-23,2.9257830387688107e-21,
free,127,0.005030361880643603,1.5471581202590796,-1.980650533841351,-1.9873879928853833,0.8965957521453616,1.269112609558841,35,0.7301587301587301,cluster-2,3.5289371180167396e-50,0.0005972229390642065,0.9994027770609234,1.6934062271979757e-31,6.21978989961973e-40,
free,127,4.238612376358411e-14,1.589303715796893,-1.9336020402082308,-1.940343284660691,0.598148015540416,1.3035237602712906,25,0.746031746031746,cluster-2,1.0207218725527173e-33,1.2347268347390504e-15,1.0,1.1117967191263945e-20,1.4110436041235448e-23,
free,127,0.6565089143666027,1.5585740652722087,-2.783405934731791,-2.78714849496462,0.8722726416400102,1.2131584856599287,27,0.7619047619047619,cluster-2,4.919218795387748e-49,0.36548498763326903,0.6345150123667361,3.132028340229319e-33,4.020409615778866e-17,
free,127,0.01651366878792092,1.5913972367998637,-1.7955590195543185,-1.802290098889853,0.5746148777758981,1.3318291699407672,41,0.753968253968254,cluster-2,2.022880704955546e-32,0.0013474204343674107,0.9978913152082114,6.006431423765065e-06,0.0007552579259887494,
free,127,1.2565514431825731e-23,1.5402619827995216,-1.9241161196250616,-1.932568439823597,1.0770622914231667,1.2511401073910537,35,0.7698412698412699,cluster-1,3.9282521008775663e-60,1.0,2.213403773423654e-25,8.348244110905976e-45,1.3899480199380375e-36,
free,127,0.11405232414345555,1.5870342499161536,-2.18329818605438,-2.189883737122236,0.6476872962290843,1.3121258907750524,24,0.7619047619047619,cluster-2,1.8445974154599103e-36,0.02421521266174138,0.9757823924221166,3.254116516223991e-09,2.3916620299913535e-06,
free,127,2.472049468800519e-10,1.5854361582752046,-2.150896928441806,-2.1593492486402726,0.7045326533280019,1.3170094288621292,27,0.8333333333333334,cluster-1,1.3842682409104423e-39,0.9999999999908482,6.50934693183289e-12,2.6401463423791714e-12,5.40727850481023e-19,
free,127,7.483379354008075e-10,1.5846975924020739,-2.5113323542076773,-2.5180735986599494,0.7055250753567912,1.2626012464790455,30,0.753968253968254,cluster-2,1.2203455500973255e-39,2.9645842522562246e-11,0.9999999999703277,1.6879715191205817e-18,9.49705399768969e-20,
free,127,6.085538670171754e-10,1.5830715937924198,-1.9128295417845718,-1.9298980651789648,0.6143267774206449,1.3025533939664484,19,0.7698412698412699,cluster-4,1.7805373958892263e-31,1.307860282085615e-34,3.732645782651913e-12,1.9752607742027424e-11,0.9999999999765237,
free,127,1.89780598630334e-12,1.582681746989844,-2.2177099993848426,-2.2361022198835627,0.6623542365126722,1.308468182268669,33,0.746031746031746,cluster-3,6.048561361675042e-14,4.607055361304393e-28,2.9348619126437366e-37,0.9999999999999432,6.306630612018623e-24,
free,127,1.1477419762341202e-09,1.5985439084083262,-2.380237489234744,-2.3869787336869113,0.412982850562869,1.301731905015851,36,0.7619047619047619,cluster-2,1.6663491861860213e-23,4.628780510587399e-11,0.9999999999537295,1.3712226902065281e-18,4.171908958456441e-18,
free,127,0.2804972587246851,1.585287860483514,-2.011322622224102,-2.0195468406895616,0.6470566396638167,1.3319024475731474,25,0.7857142857142857,cluster-1,4.4586120126552995e-17,0.9192911397600106,1.8827203098198222e-36,4.3369244407708524e-10,0.08070885980630164,
free,127,4.984638818099415e-10,1.5757331320976002,-2.5815165362020176,-2.588257780654355,0.7869572677011565,1.2014828642655855,29,0.7142857142857143,cluster-2,8.591366880462425e-28,1.942146275126121e-11,0.9999999999805596,4.19211512592361e-21,3.9360240666735e-44,
free,127,1.6325317130255381e-09,1.5951299408470505,-2.2071004552165356,-2.2155527754149222,0.5163463682640255,1.2870575745186554,32,0.7698412698412699,cluster-1,3.3167285719217244e-29,0.9999999999331521,4.4394540612800866e-16,6.682628928653098e-11,1.6672372318556632e-18,
free,127,3.228211989127659e-29,1.4645035817328194,-1.5742224745863065,-1.5809637190387669,1.5737774465966412,1.2607264055450438,8,0.6587301587301587,cluster-2,1.576437213520629e-87,4.621675906550945e-31,1.0,5.123351868296077e-66,2.5742393390852255e-50,
free,127,3.6830002320560935e-13,1.5456776551345568,-1.8415825310654528,-1.848323775517913,0.9307779627522144,1.3045336271977486,30,0.6984126984126984,cluster-2,4.598009838894315e-52,1.1473987849898182e-14,1.0,7.662741548009644e-44,5.162680047969698e-39,
free,122,0.007706701548719646,1.5888784324669425,-2.4115450499487703,-2.4185561665462862,0.5402611904456971,1.2461495607614266,24,0.768595041322314,cluster-2,2.3682018795434258e-29,0.000971024129313331,0.9990289758704979,1.6541932437739698e-13,6.466058313033444e-23,
free,127,9.427305034775864e-09,1.552341137435351,-1.9511837696465921,-1.9579250140964093,0.9480510321189097,1.2701653248113371,28,0.8174603174603174,cluster-2,5.127041817849391e-53,4.1713530511992226e-10,0.9999999995828261,9.580857933685362e-42,3.236623105513669e-14,
free,127,3.664995501110896e-07,1.5804970791963755,-2.196331114280881,-2.2047834342881534,0.6020486185869833,1.2791761773613568,32,0.7380952380952381,cluster-1,6.219680766402987e-34,0.9999999804538791,1.954613436423267e-08,1.3590062989520975e-25,7.413756983675133e-31,
free,127,0.06269709212762681,1.6057882795900156,-2.16805862066314,-2.1747750405651916,0.2556623323695866,1.3354816392702005,38,0.8174603174603174,cluster-2,7.833185812663725e-15,0.00018442531342008524,0.9887726187117457,2.6792899548626096e-05,0.011016163075276766,
free,127,0.006113228346613653,1.5551405574950734,-1.8547217902236097,-1.863166814390604,0.9434863713782602,1.297082097193448,31,0.7698412698412699,cluster-1,9.147632292443583e-53,0.999254594256246,0.0007454057437627599,5.319002129390631e-15,1.0333425304490962e-34,
free,127,0.06398222759475161,1.582313245285694,-2.073905644454355,-2.080571788621146,0.6120927465243606,1.306788625405137,27,0.7380952380952381,cluster-2,1.7164792105258876e-34,0.011769320948547747,0.988230675844327,1.8455716343453182e-26,3.2071275126435296e-09,
free,110,9.622829502206771e-06,1.5889660246776165,-2.2058299671519888,-2.215588553100578,0.600700517134233,1.1554227189548727,20,0.7798165137614679,cluster-1,2.009548725532708e-29,0.9999993701419493,1.5750649303282693e-13,5.155093616602151e-19,6.298578827455906e-07,
free,98,1.615182430739427e-09,1.564898043686541,-2.042042012117347,-2.05077811462177,0.888286357023278,0.9567197241777607,22,0.8247422680412371,cluster-2,1.562317889987885e-38,2.1714860109928338e-11,0.9999999999356532,3.3758326101291856e-27,4.261825627559679e-11,
free,127,1.4725999293210833e-07,1.5504117828419308,-1.994009543591597,-2.0007507879967266,1.1091492420106424,1.2670264942020224,25,0.7857142857142857,cluster-2,6.674685071068542e-62,7.46987857890446e-09,0.9999999925297516,6.1714797970544134e-30,3.6615233356282546e-13,
free,127,5.899701976610338e-10,1.596050619721019,-2.0545820101039616,-2.0716505334980506,0.4708194282111222,1.3001529099832103,27,0.7936507936507936,cluster-4,1.0758865668180266e-26,2.314111060200858e-11,3.694378291552634e-15,1.7619385264512466e-21,0.9999999999768647,
free,127,0.07978412690826372,1.5581558343761546,-2.173824280265748,-2.1821244638256707,0.970122329832062,1.257111887945829,37,0.8095238095238095,cluster-1,3.0602063344800055e-54,0.9845439009718844,0.015456099028107548,3.445606190896609e-25,5.100762787733587e-21,
free,127,2.5949665154337807e-11,1.543108061416088,-1.8559585931732898,-1.8644109133718165,1.1917093832661787,1.2915930348032714,24,0.753968253968254,cluster-1,1.8654913238079062e-66,0.9999999999990905,9.028955161485889e-13,2.2928109130235674e-34,3.774600779490345e-19,
free,127,2.4206187098931705e-12,1.5820046458586536,-2.0576042115218995,-2.06434545597436,0.7067599559393454,1.2868045626456668,27,0.6984126984126984,cluster-2,3.0256150870358055e-27,9.3674922934591e-19,0.9999999999999432,1.0432117989514448e-39,7.832676978760467e-14,
free,127,0.000183933597264027,1.591215265748417,-2.0464275690514273,-2.054879740423862,0.5263246551273375,1.274840912317465,28,0.7301587301587301,cluster-1,8.124209439489294e-23,0.9999847908386937,1.5209160892112251e-05,9.340001187410877e-30,4.350954293532575e-13,
free,127,0.36925157219692917,1.5979195179029584,-2.279380978561762,-2.2874780356127418,0.42510097233329214,1.29919984744835,36,0.8015873015873016,cluster-1,2.8235306818713012e-06,0.8788456654202778,3.142670037755673e-24,1.8796006866749366e-13,0.12115151104886947,
free,127,0.06114138128244007,1.5951034923157872,-1.9653651920829232,-1.9737924681242696,0.38054987389271666,1.30305846704731,32,0.8412698412698413,cluster-1,2.814974212795322e-20,0.9888678661697534,4.370293485989205e-19,0.011132133830257324,1.0133466911777028e-21,
free,127,1.1181306668858912e-11,1.5845447550858969,-1.4435911403866264,-1.4606596637812574,0.6329700139563856,1.3639127988475037,32,0.7777777777777778,cluster-4,1.225423480139931e-35,2.8083149243903757e-16,2.0166149401750383e-29,3.7761965256117575e-13,0.9999999999996305,
free,127,0.04968523084491528,1.555793599047362,-2.3458487443097935,-2.3525349187664473,0.7657706193097931,1.2489158393206194,28,0.7857142857142857,cluster-2,5.752337053563979e-43,0.008646531925812091,0.9913534680741886,2.1894883885873734e-35,6.391618253250676e-35,
free,127,3.9581194414246996e-05,1.5980504005702079,-1.8334959736020546,-1.8402371998269293,0.41888535867525833,1.3137702381056797,24,0.7301587301587301,cluster-2,7.87425678154763e-24,2.876783536161615e-06,0.9999971232164339,2.243237180571114e-14,2.1349948231206564e-18,
free,127,2.948931301060076e-17,1.590024574976307,-2.133087158203125,-2.151479378701845,0.5516239676888532,1.308434088474678,36,0.8253968253968254,cluster-3,6.678931872791677e-19,3.4313225033858873e-20,3.7580266268011766e-31,1.0,1.805293459540313e-26,
free,127,0.003866648182463076,1.5916329604805521,-2.238158218503937,-2.268088685971497,0.4563685139333171,1.3282087189008829,27,0.7936507936507936,cluster-0,0.9995648523486209,0.0004206326493548243,6.739433735958823e-26,1.4515002032203025e-05,2.3689991946064218e-24,
free,127,0.20275654201079857,1.5456833124733926,-2.1255156749815454,-2.133454381857275,0.8411528820127954,1.2689577103295862,20,0.6984126984126984,cluster-1,3.827702768521653e-47,0.948552129485568,0.051447870514423906,7.988284138324839e-45,2.640780291970583e-27,
free,118,4.970630558004881e-14,1.5796004791184926,-1.8330031572762182,-1.8421001459644724,0.763552132299391,1.2392735384626765,25,0.7606837606837606,cluster-1,7.420542060106591e-40,1.0,1.4549303579640181e-15,7.066686426459766e-21,2.3384827108198702e-23,
free,127,0.011492492036468625,1.6025890590336764,-1.9073292889932947,-1.9243617875538872,0.3068310594934178,1.3501691676591203,44,0.8253968253968254,cluster-4,1.1910870799892587e-17,0.0015322350232250103,7.353918688952549e-15,2.209025781761863e-06,0.9984655559509942,
free,127,3.855502998557538e-10,1.6010055526140852,-2.1439365176703986,-2.1523888378688083,0.36368735005536434,1.294651005684171,21,0.6904761904761905,cluster-1,8.723264139736566e-21,0.9999999999853912,1.2316809600492382e-11,2.296390399724891e-12,1.4147499708785633e-18,
free,127,6.971691190332776e-05,1.5724070803226868,-2.0448336864080954,-2.0532859547177615,0.8840185450756644,1.2715969723851668,30,0.7301587301587301,cluster-1,1.7442227297126175e-49,0.9999946972386817,5.3027599121241e-06,1.4142827365400687e-12,2.331646548059482e-16,
free,127,0.37394976513439243,1.5492888461924441,-1.6594738096702757,-1.665368963630548,1.0136728361835627,1.303610390243921,31,0.8015873015873016,cluster-2,1.0794299649700496e-56,0.12355552114266022,0.8764444788573308,2.699339028026687e-31,1.4106464838692958e-21,
free,127,9.323594895160439e-22,1.5511498247849769,-2.5168786236620324,-2.523619868114493,0.9366966908372296,1.206367816059211,29,0.753968253968254,cluster-2,2.1683035754737395e-52,1.779892708081647e-23,1.0,1.3108518292593757e-42,2.2750948225937738e-37,
free,127,1.4175309917854114e-18,1.4955802474213815,-2.0622544175996556,-2.0689956620521155,1.1131603811669537,1.2281999468542928,22,0.6825396825396826,cluster-2,1.2296187874976793e-58,3.1569369898450106e-20,1.0,7.431935893704336e-61,4.010465652632373e-62,
free,127,0.6713374568960102,1.594277941806996,-1.4737411859467273,-1.4792019916382946,0.49772788220503195,1.3816491639065838,30,0.7619047619047619,cluster-2,2.1315571385988017e-28,3.0220025044216083e-07,0.6040557402186365,2.706273798408034e-13,0.39594395758083023,
free,127,0.19647652399710944,1.5681928343106906,-2.1187958003967764,-2.126756277589312,0.8364510123185287,1.2667570757129272,33,0.6984126984126984,cluster-1,6.97027230401844e-47,0.9506906920915444,0.04930930654662943,1.1374357500482797e-25,1.3618420593603687e-09,
free,127,1.4484330627612318e-05,1.5996294084314862,-2.399803101547121,-2.4082554195708075,0.36468914362389304,1.2729895851174953,36,0.746031746031746,cluster-1,7.681115135784253e-21,0.9999990239508849,1.3250284170940669e-19,9.760488765886594e-07,2.2141582810422647e-13,
