probe,kind,key,n,accuracy
single,overall,all,4800.0,0.8260416666666667
mean,overall,all,4800.0,0.8854166666666666
single,pos_bin,"[1,2)",51.0,0.3333333333333333
mean,pos_bin,"[1,2)",51.0,0.2549019607843137
single,pos_bin,"[2,4)",119.0,0.42016806722689076
mean,pos_bin,"[2,4)",119.0,0.33613445378151263
single,pos_bin,"[4,8)",206.0,0.5194174757281553
mean,pos_bin,"[4,8)",206.0,0.5048543689320388
single,pos_bin,"[8,16)",420.0,0.669047619047619
mean,pos_bin,"[8,16)",420.0,0.7642857142857142
single,pos_bin,"[16,32)",802.0,0.8341645885286783
mean,pos_bin,"[16,32)",802.0,0.8653366583541147
single,pos_bin,"[32,64)",1591.0,0.8862350722815839
mean,pos_bin,"[32,64)",1591.0,0.9522313010685104
single,pos_bin,"[64,96)",1611.0,0.888268156424581
mean,pos_bin,"[64,96)",1611.0,0.9702048417132216
single,per_class,cluster-0,,0.8666666666666667
mean,per_class,cluster-0,,0.9125
single,per_class,cluster-1,,0.815625
mean,per_class,cluster-1,,0.8625
single,per_class,cluster-2,,0.8604166666666667
mean,per_class,cluster-2,,0.9125
single,per_class,cluster-3,,0.7979166666666667
mean,per_class,cluster-3,,0.875
single,per_class,cluster-4,,0.7895833333333333
mean,per_class,cluster-4,,0.8645833333333334
