regime,prior,component,gamma_t1,gamma_late,resp_t1,resp_late,base_gamma_late
free,uniform,absurdist,0.1765811952454192,0.3460603251674212,0.1765811952454192,0.22140854867270207,
free,uniform,epistolary,0.26394306930851086,0.015195641285895322,0.26394306930851086,0.1232151082605144,
free,uniform,scientific_explainer,0.12325221479375265,0.2783920991503109,0.12325221479375265,0.17410874150055555,
free,uniform,fairy_tale,0.12892120497880055,0.11280060912481815,0.12892120497880055,0.1579067449794971,
free,uniform,noir_detective,0.13051651972069767,0.11457804652899724,0.13051651972069767,0.14690648700296083,
free,uniform,base,0.17678579595281907,0.13297327874255693,0.17678579595281907,0.17645436958377,
free,free,absurdist,0.37734075637508946,0.3544602445728105,0.37734075637508946,0.3741725869068176,
free,free,epistolary,0.009373918974361805,0.00740466974831417,0.009373918974361805,0.004190950768984146,
free,free,scientific_explainer,0.26761985377892034,0.3090834197363897,0.26761985377892034,0.28710088548812157,
free,free,fairy_tale,0.04855202281015366,0.09284991615170947,0.04855202281015366,0.05653120770541294,
free,free,noir_detective,0.11516849401843354,0.11391838174020262,0.11516849401843354,0.12452953763784809,
free,free,base,0.18194495404304148,0.12228336805057323,0.18194495404304148,0.15347483149281557,
anchored:absurdist,uniform,absurdist,0.17622569444001446,0.7362548485540503,,,0.09328061688035975
anchored:absurdist,free,absurdist,0.41953137464740253,0.7450710782583944,,,0.08071721467045419
anchored:epistolary,uniform,epistolary,0.9365029846764612,0.9901145045490226,,,0.0060660186393389215
anchored:epistolary,free,epistolary,0.38041624840995797,0.9834287098653721,,,0.010880851162204164
anchored:scientific_explainer,uniform,scientific_explainer,0.2403564522747395,0.4238536393856959,,,0.0955266716257492
anchored:scientific_explainer,free,scientific_explainer,0.5571615681668332,0.49958508842777083,,,0.08335906728255145
anchored:fairy_tale,uniform,fairy_tale,0.14398521727247723,0.4264732360686496,,,0.08196772568193235
anchored:fairy_tale,free,fairy_tale,0.16036943121344366,0.40269673430642383,,,0.07741190866005586
anchored:noir_detective,uniform,noir_detective,0.015403048992850204,0.8254635933081357,,,0.07308301092006304
anchored:noir_detective,free,noir_detective,0.0076022434500006295,0.8245106211310365,,,0.07131491086947152
